found_idiom,translated_segment,src,dst,idiom_avg,idiom_log_avg,idiom_tot,idiom_min,idiom_max,idiom_log_tot,literal_avg,literal_log_avg,literal_tot,literal_min,literal_max,literal_log_tot
兴高采烈,望着那群小女孩儿，个个捞起裙子，高兴,我正站在石阶上，望着那群小女孩儿，个个捞起裙子，兴高采烈地踢着毽子，忽然看见王雄从那丛芭蕉树后问了出来，朝着丽儿直招手，悄悄地叫道：,我正站在石阶上，望着那群小女孩儿，个个捞起裙子，高兴地踢着毽子，忽然看见王雄从那丛芭蕉树后问了出来，朝着丽儿直招手，悄悄地叫道：,120749.75,11.701483782675654,482999,43751,293542,13.087771932634709,386991.75,12.86616123798631,6191868,3681,1199580,15.638747537697153
四面八方,同到一堆如像恋爱，作媒，结婚，亲嘴,一串单个的名字，同到一堆如像恋爱，作媒，结婚，亲嘴的字言，四面八方的掷来，少年为这些来去无踪的零碎片段思想包围，人是苦恼了。,一串单个的名字，同到一堆如像恋爱，作媒，结婚，亲嘴的字言，从各个方向掷来，少年为这些隐秘的零碎片段思想包围，人是苦恼了。,298879.25,12.607798270478368,1195517,92700,492763,13.9940901222289,436396.35714285716,12.986308476879767,6109549,13802,3050722,15.625363678681001
大吃一惊,十分吃惊,老范听到这两个消息，大吃一惊，也十分愤怒。,老范听到这两个消息，十分吃惊，也十分愤怒。,1062621.5,13.8762504672525,4250486,59724,3050722,15.262544122571164,226009.0,12.328334525063129,904036,59724,419382,13.714625567740276
不由自主,不由,他常常事先就定下一些活动和约会，可等到晚饭后七八点钟，夜间的节目即将拉开帷幕，他却不由自主地车头一转，驶上去王琦瑶家的路上，就好像那些梦雳在向他招手。,他常常事先就定下一些活动和约会，可等到晚饭后七八点钟，夜间的节目即将拉开帷幕，他却不由地车头一转，驶上去王琦瑶家的路上，就好像那些梦雳在向他招手。,885373.5,13.693765998323306,3541494,292199,2237915,15.080059512343674,1265057.0,14.050628528895059,2530114,292199,2237915,14.743775314216132
明明白白,分明,这血明明白白是为茅草割破手而流，五明流血是为帮同阿黑采蕨责任在阿黑，也很显然了。,这血分明是为茅草割破手而流，五明流血是为帮同阿黑采蕨责任在阿黑，也很显然了。,229300.5,12.342793010473095,917202,148728,309873,13.729084100784785,364627.5,12.806634306026936,729255,309873,419382,13.49978011532725
隐隐约约,隐约,海上的雾气似乎淡薄了一些，隐隐约约能看到近处淡白的海面。,海上的雾气似乎淡薄了一些，隐约能看到近处淡白的海面。,64221.0,11.070101110104696,256884,29294,99148,12.456383792915295,64221.0,11.070101110104696,128442,29294,99148,11.763240505140267
不以为然,表示不赞同,“大表哥，我总觉得你想得太多一点，”琴不以为然地说。,“大表哥，我总觉得你想得太多一点，”琴表示不赞同地说。,1174651.0,13.97648249148057,4698604,511026,2237915,15.362776214113286,604833.2,13.31270964986775,3024166,22909,2237915,14.922146239624448
不可思议,神奇,充作饼馅的麦芽糖，软软甜甜且不说，最不可思议的是它不腻、不滞、不粘牙。,充作饼馅的麦芽糖，软软甜甜且不说，最神奇的是它不腻、不滞、不粘牙。,805584.0,13.599324000550778,3222336,116810,2237915,14.985617430669782,128236.5,11.761639292395968,256473,71919,184554,12.454782573932814
眉花眼笑,眉花眼笑,因此我恍然大悟，那种眉花眼笑的美满结婚照相，全不是当时照的。”,因此我突然明白，那种眉花眼笑的美满结婚照相，全不是当时照的。”,98277.75,11.495563107791513,393111,14763,152079,12.881849837527591,98277.75,11.495563107791513,393111,14763,152079,12.881849837527591
不顾一切,一股脑,志摩生前，最为人所误解，而实际也许是催他速死的最大原因之一的一重性格，是他的那股不顾一切，带有激烈的燃烧性的热情。,志摩生前，最为人所误解，而实际也许是催他速死的最大原因之一的一重性格，是他的那股一股脑，带有激烈的燃烧性的热情。,1364440.75,14.126255928589401,5457763,42735,3050722,15.512549740033787,1058076.6666666667,13.871964297653777,3174230,61647,3050722,14.970575956248219
不约而同,同时留神去找尤大兴的破绽，好借口打他。,他们的怒气被激起来，大家都不约而同地留神去找尤大兴的破绽，好借口打他。,他们的怒气被激起来，大家都同时留神去找尤大兴的破绽，好借口打他。,855978.25,13.660001414175865,3423913,99148,2237915,15.046294899105908,803501.6470588235,13.596735758564762,13659528,1607,7922684,16.4299479312782
慌慌张张,慌张,冯云卿吐去了那含在嘴里有好半天的一口浓痰，慌慌张张问。,冯云卿吐去了那含在嘴里有好半天的一口浓痰，慌张问。,73618.0,11.206658423575341,294472,11149,136087,12.592942597055895,73618.0,11.206658423575341,147236,11149,136087,11.89979881238726
一言不发,沉默,它一言不发地夹在其他赤身露体的糕饼当中，有一种无声的热闹，有一种难掩的喜气。,它沉默地夹在其他裸露的糕饼当中，有一种无声的热闹，有一种难掩的喜气。,1495462.25,14.217946583029038,5981849,120308,3050722,15.604240442631964,39102.0,10.573954469372852,78204,29432,48772,11.267088863108341
胡思乱想,喜欢那么悠悠晃晃，做白日梦，一堂课我走神,冬天的太阳软绵绵的，晒得人全身都有一股说不出的懒怠劲，我喜欢那么悠悠晃晃，做白日梦，一堂课我胡思乱想混去了半堂。,冬天的太阳软绵绵的，晒得人全身都有一股说不出的懒怠劲，我喜欢那么悠悠晃晃，做白日梦，一堂课我走神混去了半堂。,150998.75,11.925033460166551,603995,43199,368819,13.311322854378467,397908.0,12.893978614907649,7162344,6604,3050722,15.784347999282318
东张西望,张望着,我想象金先生坐在平板三轮上东张西望，那情景一定非常有趣。,我想象金先生坐在平板三轮上张望着，那情景一定非常有趣。,179772.25,12.099451613533105,719089,133145,243619,13.485741802722163,298519.3333333333,12.606593327864468,895558,133145,626326,13.70520338329304
翻来覆去,反复,我不接他的话，他又翻来覆去地说，“到哪儿弄钱去？”,我不接他的话，他又反复地说，“到哪儿弄钱去？”,398525.5,12.895529274374068,1594102,8795,1079469,14.281821753559619,140103.5,11.850143851723612,280207,98822,181385,12.543287463512446
里里外外,摸著它的里里外外,我轻轻的摸著它的里里外外，好似得了宝贝似的不知所措的欢喜著，脑子里突然浮出一片大漠落霞的景色，背后的配乐居然是“狮子与我”片中那首叫做“生而自由”的好听的主题曲。,我轻轻的摸著它的里里外外，好似得了宝贝似的莫名的欢喜著，脑子里突然浮出一片大漠落霞的景色，背后的配乐居然是“狮子与我”片中那首叫做“生而自由”的好听的主题曲。,416720.0,12.940172212109033,1666880,295645,537795,14.326464773461993,1249880.375,14.038559204775193,9999043,17067,7922684,16.11800004638835
捶胸顿足,让人笑,让人哭，让人笑，让人咬牙切齿，捶胸顿足，都太容易。,让人哭，让人笑，让人憎恨，悲痛，都太容易。,35065.75,10.465008667040669,140263,1061,77385,11.851281640149963,705520.3333333334,13.466692288419294,2116561,122902,1867999,14.565303632159234
惊心动魄,钱的时节，这些话，自然不免有点令人震撼,然而到了近来，并且又到了据说已经有了党的康村，而且自己是正感到无法处置自己历年居积下来的一点钱的时节，这些话，自然不免有点惊心动魄了。,然而到了近来，并且又到了据说已经有了党的康村，而且自己是正感到无法处置自己历年居积下来的一点钱的时节，这些话，自然不免有点令人震撼了。,220613.75,12.304173246666936,882455,3664,426839,13.69046420818968,1093996.705882353,13.905349164962187,18597944,1922,7922684,16.738561648708668
惊天动地,声势极大,整个山城惊天动地地回应：听清楚了！,整个山城声势极大地回应：听清楚了！,468949.0,13.058251431937084,1875796,59724,969349,14.444544193738071,364647.0,12.806687783685971,1458588,80705,1054064,14.192980088025703
无影无踪,没有踪影,她折起身子，从俺手里抢去那根虎须，噗，一口气吹得无影无踪。,她折起身子，从俺手里抢去那根虎须，噗，一口气吹得没有踪影。,210146.25,12.255563754456611,840585,13193,359265,13.641854546644058,583051.25,13.27603208395827,2332205,13193,1782004,14.662325158743219
幸灾乐祸,戏虐,我跟在他身后幸灾乐祸地说：“请别说这是庸俗，那女人不过是个小巷子里腌菜的大字不识的女人，不值得你失望。”,我跟在他身后戏虐地说：“请别说这是庸俗，那女人不过是个小巷子里腌菜的大字不识的女人，不值得你失望。”,32007.5,10.37375677150979,128030,8336,64965,11.760027701079096,16190.5,9.692241692163773,32381,2979,29402,10.385357991846698
有说有笑,时常说笑,都有些疲乏过度的兴奋，孙小姐也有说有笑，但比了辛楣鸿渐的胡闹，倒是这女孩子老成。,都有些疲乏过度的兴奋，孙小姐也时常说笑，但比了辛楣鸿渐的胡闹，倒是这女孩子老成。,1140471.75,13.946953427391763,4561887,122902,1782004,15.333247130889413,510930.0,13.14398983071435,2043720,122902,874977,14.53028272392458
有意无意,有意又好像无意,梅女士有意无意地分辩着，但也忍不住笑起来。,梅女士有意又好像无意地分辩着，但也忍不住笑起来。,715433.25,13.480644979975578,2861733,359265,1782004,14.866938292780556,531689.0,13.183815891717295,3721823,145291,1782004,15.129724428661138
浩浩荡荡,面是窄窄的阳台，铁栏杆外一片空旷,薇龙拉开了珍珠罗帘幕，倚着窗台望出去，外面是窄窄的阳台，铁栏杆外浩浩荡荡都是雾，一片□□乳白，很有从甲板上望海的情致。,薇龙拉开了珍珠罗帘幕，倚着窗台望出去，外面是窄窄的阳台，铁栏杆外一片空旷都是雾，一片□□乳白，很有从甲板上望海的情致。,11827.5,9.378267152652462,47310,8387,15268,10.764498105582106,986742.7333333333,13.802165642689962,14801141,2731,7922684,16.51021489791966
各式各样,前方灯盏路两侧,她望着前方灯盏路两侧的杨树，现在那杨树下没有吊着各式各样的灯，也不是有雪的时令，而她却仿佛看到了那年正月十五的大雪和那盏白菜灯。,她望着前方灯盏路两侧的杨树，现在那杨树下没有吊着各钟的灯，也不是有雪的时令，而她却仿佛看到了那年正月十五的大雪和那盏白菜灯。,231827.75,12.35375423153242,927311,142292,398149,13.740045357500446,194207.57142857142,12.176687970984664,1359453,2486,492763,14.122593706513106
结结巴巴,西班牙文说得极生硬，有些结巴。,我这才发觉这是个外地人，西班牙文说得极生硬，结结巴巴的。,我这才发觉这是个外地人，西班牙文说得极生硬，有些结巴。,128295.5,11.76209927041869,513182,74917,181674,13.148387785687818,411950.46153846156,12.928660809591458,5355356,23364,1782004,15.49360792630853
气喘吁吁,赤膊裸裎,衣冠尽卸，赤膊裸裎，挥汗不迭，气喘吁吁，那篇文章会连影子也没有。,衣冠尽卸，赤膊裸裎，挥汗不迭，大喘气，那篇文章会连影子也没有。,52447.25,10.867582248158188,209789,5891,190687,12.253862309366022,5201.0,8.556798446008598,20804,82,10981,9.942948621417042
鬼鬼祟祟,偷偷,后来又鬼鬼祟祟地跳出来一只火红的狐狸。,后来又偷偷地跳出来一只火红的狐狸。,15021.5,9.617304356208082,60086,1127,28916,11.003548790969342,19006.0,9.852562611350837,38012,19006,19006,10.545683485467018
久而久之,得到许多经验,我在办这些事儿的时候，得到许多经验，明白了许多人情，久而久之，我成了个很精明的人，虽然还不到三十岁-,我在办这些事儿的时候，得到许多经验，明白了许多人情，时间长了，我成了个很精明的人，虽然还不到三十岁-,345854.5,12.753776336750338,1383418,62588,649239,14.140068529332174,466887.6666666667,13.053846107086924,2801326,76542,965035,14.845603791448186
一模一样,一样,今天才晓得他们的眼光，全同外面的那伙人一模一样。,今天才晓得他们的眼光，全同外面的那伙人一样。,1638621.0,14.30936620269517,6554484,54891,3050722,15.695660106113301,1724435.5,14.360410888413753,3448871,398149,3050722,15.053557779023865
成千上万,无数,"他进一步设想，那成千上万的观看宝船的人，一定也有穆斯林，如果他们知道这宝船出自中国的穆斯林之手，一定为""朵斯提""感到无上的光彩！","他进一步设想，那无数的观看宝船的人，一定也有穆斯林，如果他们知道这宝船出自中国的穆斯林之手，一定为""朵斯提""感到无上的光彩！",442661.25,13.000562342890992,1770645,67843,1069575,14.386855009715436,271288.5,12.51094179535475,542577,183312,359265,13.204087132863414
理所当然,应当,谁还管青红皂白，先揍完再说，反正打媳妇是理所当然的事。,谁还管对错，先揍完再说，反正打媳妇是应当的。,465353.75,13.050555296932558,1861415,398087,523028,14.436848046377476,354829.0,12.779394080521708,709658,280384,429274,13.472539851955164
不慌不忙,冷静,“柴进不会吃酒，”瑞珏不慌不忙地接口说。,“柴进不会吃酒，”瑞珏冷静地接口说。,1132251.25,13.939719348610128,4529005,11149,2237915,15.326013047333234,52430.5,10.867262834732003,104861,51401,53460,11.560400478994415
垂头丧气,沮丧,我是心有余而力不足，”觉新垂头丧气地答道。,我是没办法，”觉新沮丧地答道。,123319.5,11.722541936484244,493278,11949,274911,13.108830215871734,8980.0,9.10286651367095,17960,2229,15731,9.795958019593462
轰轰烈烈,响亮,你在轰轰烈烈的音乐声中，听着她清楚地报数：“一、二、三、四、五、六、七、八、九、十、十一、十二，”这时候她稍微停顿了一下，你看到那十二个已经报出的数字，像十二个清晰的脚印，印在金黄的沙地上，“十三！”,你在响亮的音乐声中，听着她清楚地报数：“一、二、三、四、五、六、七、八、九、十、十一、十二，”这时候她稍微停顿了一下，你看到那十二个已经报出的数字，像十二个清晰的脚印，印在金黄的沙地上，“十三！”,31710.5,10.364434670103297,126842,19670,43751,11.750705380217427,61359.0,11.024513436041138,122718,41016,81702,11.717652467936853
无可如何,无奈地笑了笑。,看了看自己的手，那么白软的一对手，他无可如何的笑了笑。,看了看自己的手，那么白软的一对手，他无奈地笑了笑。,428936.0,12.969065333979321,1715744,184335,723108,14.355357946589162,619075.8333333334,13.335984668896558,3714455,11509,2128528,15.127742792033386
混世魔王,捣蛋鬼,对混世魔王来说，他最需要的是从模子里走一遭，从烈火中滚一遭。,对捣蛋鬼来说，他最需要的是从模子里走一遭，从烈火中滚一遭。,101594.5,11.528754521807045,406378,22835,214990,12.915041500682955,15991.333333333334,9.67986471971822,47974,2753,28916,10.7784353208759
迫不及待,着急,同时，读者为了想知道荷西最后是否拿得到汉斯欠他的那几千块美金的薪水，也就迫不及待地追看下去了。,同时，读者为了想知道荷西最后是否拿得到汉斯欠他的那几千块美金的薪水，也就着急地追看下去了。,632318.25,13.357149687992582,2529273,30930,2237915,14.743442863002063,343233.5,12.746169166019222,686467,60141,626326,13.439314889848086
说说笑笑,说说笑笑,他们撑着雨伞，一路说说笑笑，通过一段早年间用横石片插起的长长的下坡路，不多时便纷纷消失在城市的大街小巷中。,他们撑着雨伞，一路说说笑笑，通过一段早年间用横石片插起的长长的下坡路，不多时便纷纷消失在城市的各个地方中。,498939.5,13.120242129147229,1995758,122902,874977,14.506534987080741,498939.5,13.120242129147229,1995758,122902,874977,14.506534987080741
理直气壮,”春兰仗着她的主人在这里给她撑腰，气势强,我没有说一句假话，”春兰仗着她的主人在这里给她撑腰，理直气壮地说。,我没有说一句假话，”春兰仗着她的主人在这里给她撑腰，气势强地说。,193341.0,12.172215920435972,773364,15151,398087,13.558506402411886,914307.0,13.725922773977521,16457526,5628,7922684,16.61629349891222
有朝一日,有一天,这个责任与困苦并不小，有朝一日被屠杀或被饿死，我陪侍着老人们一块儿死；我有两个弟弟在外面抗日，死我也可以瞑目了！,这个责任与困苦并不小，有一天被屠杀或被饿死，我陪侍着老人们一块儿死；我有两个弟弟在外面抗日，死我也可以瞑目了！,1316217.25,14.090273220581938,5264869,68380,3050722,15.47656701188735,1750870.0,14.375623936366738,5252610,419884,3050722,15.474235844271906
花花绿绿,颜色繁多,棕色的泥渚突然间变了颜色，花花绿绿的鸭羽上闪烁着无数个变色的太阳，鸭群载着阳光，穿梭般蹒跚着。,棕色的泥渚突然间变了颜色，颜色繁多的鸭羽上闪烁着无数个变色的太阳，鸭群载着阳光，穿梭般蹒跚着。,64890.5,11.080471923390576,259562,26414,103367,12.466754726689578,163864.0,12.006798197083556,655456,12837,481689,13.39308798125464
哭哭啼啼,那些人家的媳妇或老人就守住,先是扒榔头队人家的麦草集，那些人家的媳妇或老人就守住，百般求饶，哭哭啼啼，这已经差不多是下午了，大半天都没有吃饭，又饥又饿，再遇上这些人哭啼不断，红大刀的人心里长了草，而同时疥疮却肆意地痒起来，交裆都要快抓烂了，还是痒，有人就说：日他妈！,先是扒榔头队人家的麦草集，那些人家的媳妇或老人就守住，百般求饶，哭闹着，这已经差不多是下午了，大半天都没有吃饭，又饥又饿，再遇上这些人哭啼不断，红大刀的人心里长了草，而同时疥疮却肆意地痒起来，交裆都要快抓烂了，还是痒，有人就说：日他妈！,11791.0,9.375176614429117,47164,2138,21444,10.761407371083953,1129592.2307692308,13.93736815311218,14684699,4262,7922684,16.50231669339699
与众不同,很突出,因为教主的来历到底与众不同，三十年代，他是上海明星公司的红星——这都是黑美郎打听出来的，黑美郎专喜欢往那些老导演的家里钻，拜他们的太太做干娘。,因为教主的来历到底很突出，三十年代，他是上海明星公司的红星——这都是黑美郎打听出来的，黑美郎专喜欢往那些老导演的家里钻，拜他们的太太做干娘。,775362.0,13.561086585773262,3101448,80390,2237915,14.947379979603815,374660.6666666667,12.833778675482886,1123982,84474,755256,13.932389184766237
不动声色,座肃静,一座座不动声色的山门，把人引向深深的远方，引向一片绿洲或一片石滩，似乎有一个人曾经在那里久久等待的地方。,一座座肃静的山门，把人引向深深的远方，引向一片绿洲或一片石滩，似乎有一个人曾经在那里久久等待的地方。,753267.0,13.532176353155755,3013068,142231,2237915,14.91846971861358,35932.0,10.48941137230805,107796,13581,51401,11.588005107756247
不声不响,毫无动静地,“元首”是不声不响掏连里的厕所；“老肥”是清早一起来就抢扫帚把，有一天夜里还做好事，一人站了一夜岗，自己不休息，让同志们休息。,“元首”是毫无动静地掏连里的厕所；“老肥”是清早一起来就抢扫帚把，有一天夜里还做好事，一人站了一夜岗，自己不休息，让同志们休息。,1190903.75,13.9902238703282,4763615,81702,2237915,15.376517601674603,369045.6,12.818678202311972,1845228,38374,969349,14.4281139469958
大惊小怪,丢下了，丢得很重，兀自点了点头，重新回到堂屋，心里头却想，这个端方伙，就一本书，有什么好惊讶,吴蔓玲只看了一眼，丢下了，丢得很重，兀自点了点头，重新回到堂屋，心里头却想，这个端方伙，就一本书，大惊小怪的。,吴蔓玲只看了一眼，丢下了，丢得很重，兀自点了点头，重新回到堂屋，心里头却想，这个端方伙，就一本书，有什么好惊讶的。,392843.75,12.881169774635326,1571375,46600,1054064,14.26746222660226,558983.1538461539,13.233876404411927,21800343,2283,3050722,16.897436307451333
摇摇摆摆,摇摆,原来每一只船篷上那些在风中摇摇摆摆的诸色三角旗，已早告给那乡下人了。,原来每一只船篷上那些在风中摇摆的诸色三角旗，已早告给那乡下人了。,29244.0,10.283463897877127,116976,23853,34635,11.669732613258695,29244.0,10.283463897877127,58488,23853,34635,10.97659398135127
一五一十,毫无保留地,牛爱国将自己和庞丽娜的事，一五一十说了出来，是杀人，是离婚，让杜青海帮他拿主意。,牛爱国将自己和庞丽娜的事，毫无保留地说了出来，是杀人，是离婚，让杜青海帮他拿主意。,1648678.5,14.315485222433027,6594714,154316,3050722,15.701779128643294,320939.8,12.679011961428003,1604699,38374,969349,14.288447381187451
成群结队,然后，成群,来，然后，成群结队的绿豆如一道绿色的瀑布，倾泻到地上。,来，然后，成群的绿豆如一道绿色的瀑布，倾泻到地上。,228519.5,12.339381200828303,914078,70459,499007,13.725672279961541,412814.0,12.930754829698612,1651256,70459,570764,14.317047374022405
若无其事,什么也没发生,他看见国光，自然先说几句普通的应酬话，装出若无其事的样子。,他看见国光，自然先说几句普通的应酬话，装出什么也没发生的样子。,330550.25,12.708516994330735,1322201,60736,499172,14.094809086510935,523196.3333333333,13.167713982272177,3139178,267869,710259,14.959471858728358
五颜六色,离愁，班上有小朋友开始买了各种花样,总也感染到了离愁，班上有小朋友开始买了五颜六色的纪念册，在班上传来传去。,总也感染到了离愁，班上有小朋友开始买了各种花样的纪念册，在班上传来传去。,98803.5,11.50089842925745,395214,12837,154316,12.887185199601147,461165.75,13.041514970242112,7378652,6135,2128528,15.814101659592591
没完没了,一直,不难想象，这一类真实的故事可以没完没了地讲下去，而一切走西口、闯全国的山西商人，心头都埋藏着无数这样的故事。,不难想象，这一类真实的故事可以一直地讲下去，而一切走西口、闯全国的山西商人，心头都埋藏着无数这样的故事。,781985.0,13.569592116553892,3127940,143120,2128528,14.955885518576867,1610080.5,14.291795356797452,3220161,169439,3050722,14.984942226814063
热气腾腾,望着李雪芬，看着热情,燕秋这孩子真是过分了，眼里不谦虚就不谦虚吧，怎么说嘴上也不该不谦虚的!筱燕秋微笑着望着李雪芬，看着热气腾腾的李雪芬一点一点地凉下去。,燕秋这孩子真是过分了，眼里不谦虚就不谦虚吧，怎么说嘴上也不该不谦虚的!筱燕秋微笑着望着李雪芬，看着热情的李雪芬一点一点地凉下去。,70106.0,11.157777925383916,280424,11343,190687,12.544061588513424,257352.44444444444,12.45820568927128,2316172,8218,626326,14.655426812640034
兴致勃勃,兴奋,我为此请教过一位心理学家，他当时兴致勃勃正盯着我妻最先端上桌的团鱼汤，只是嗯嗯呵呵了一阵。,我为此请教过一位心理学家，他当时兴奋正盯着我妻最先端上桌的团鱼汤，只是嗯嗯呵呵了一阵。,45341.0,10.721989034248775,181364,13183,78238,12.108266854276456,48129.5,10.781671350774257,96259,19499,76760,11.4748081428571
无声无息,无声地翱翔。,心不惊，翅膀几乎不动，只让大气托著已可无声无息的翱翔。,心不惊，翅膀几乎不动，只让大气托著已可无声地翱翔。,255765.0,12.452018242951828,1023060,98447,359265,13.838309671699552,308162.2,12.638384791753975,1540811,489,969349,14.247820108157665
手忙脚乱,乱了阵脚,女萝心想自己遇到了不喜欢看秧歌的知音了，便一阵手忙脚乱，给她搬了把椅子，并且泡了一壶香啧啧的热茶。,女萝心想自己遇到了不喜欢看秧歌的知音了，便一阵乱了阵脚，给她搬了把椅子，并且泡了一壶香啧啧的热茶。,103617.75,11.548473576987776,414471,42026,280442,12.93476070000921,566357.5,13.246982548903274,2265430,44529,2128528,14.633275585772719
不明不白,奇怪,她终于在一场不明不白的关系争斗中，被归属于败落的一派，从高空中跌落下来。,她终于在一场奇怪的关系争斗中，被归属于败落的一派，从高空中跌落下来。,1233607.75,14.025454374827007,4934431,148728,2237915,15.41174812797437,59259.5,10.989698258486495,118519,46600,71919,11.682837001687501
无缘无故,奇怪,这种关系只能用具体的事实来说明，而具体的事实就在他的心上与眼前——北平属了日本人，他的至亲好友就会死亡；他们的死亡不仅损失了他的金钱，而且使他看到更大的危险，大家都可以无缘无故死去的危险。,这种关系只能用具体的事实来说明，而具体的事实就在他的心上与眼前——北平属了日本人，他的亲戚和好友就会死亡；他们的死亡不仅损失了他的金钱，而且使他看到更大的危险，大家都可以奇怪死去的危险。,201981.75,12.21593757669729,807927,19330,359265,13.602228224621907,59259.5,10.989698258486495,118519,46600,71919,11.682837001687501
吞吞吐吐,有顾虑,“钱什么哩……”向前吞吞吐吐地说。,钱什么哩……”向前有顾虑地说。,10137.0,9.224046019032295,40548,9142,11132,10.61026639832702,620649.0,13.338522594944093,1861947,37208,1782004,14.437133809468927
破口大骂,大声斥骂,孩子不耐烦了，被大人打了耳光；扒手们得了手，失了东西的破口大骂。,孩子不耐烦了，被大人打了耳光；扒手们得了手，失了东西的大声斥骂。,332061.0,12.713076977451529,1328244,14976,1054064,14.099369079954513,320896.75,12.678877815543295,1283587,8464,1054064,14.065169839467377
情不自禁,不由得,老船夫看看二老的神气，心中忽然高兴起来了，就情不自禁的高声叫着翠翠，要她下溪边来。,老船夫看看二老的神气，心中忽然高兴起来了，就不由得的高声叫着翠翠，要她下溪边来。,798613.25,13.590633317178582,3194453,31951,2237915,14.976926739171288,1053600.6666666667,13.867725011287963,3160802,292199,2237915,14.96633666720567
