idiom,explanation,original_sentence,original_paraphrase
哭啼啼,闹着,先是扒榔头队人家的麦草集，那些人家的媳妇或老人就守住，百般求饶，哭哭啼啼，这已经差不多是下午了，大半天都没有吃饭，又饥又饿，再遇上这些人哭啼不断，红大刀的人心里长了草，而同时疥疮却肆意地痒起来，交裆都要快抓烂了，还是痒，有人就说：日他妈！,先是扒榔头队人家的麦草集，那些人家的媳妇或老人就守住，百般求饶，哭闹着，这已经差不多是下午了，大半天都没有吃饭，又饥又饿，再遇上这些人哭啼不断，红大刀的人心里长了草，而同时疥疮却肆意地痒起来，交裆都要快抓烂了，还是痒，有人就说：日他妈！
大,有什么好,吴蔓玲只看了一眼，丢下了，丢得很重，兀自点了点头，重新回到堂屋，心里头却想，这个端方伙，就一本书，大惊小怪的。,吴蔓玲只看了一眼，丢下了，丢得很重，兀自点了点头，重新回到堂屋，心里头却想，这个端方伙，就一本书，有什么好惊讶的。
小怪,讶,吴蔓玲只看了一眼，丢下了，丢得很重，兀自点了点头，重新回到堂屋，心里头却想，这个端方伙，就一本书，大惊小怪的。,吴蔓玲只看了一眼，丢下了，丢得很重，兀自点了点头，重新回到堂屋，心里头却想，这个端方伙，就一本书，有什么好惊讶的。
气腾腾,情,燕秋这孩子真是过分了，眼里不谦虚就不谦虚吧，怎么说嘴上也不该不谦虚的!筱燕秋微笑着望着李雪芬，看着热气腾腾的李雪芬一点一点地凉下去。,燕秋这孩子真是过分了，眼里不谦虚就不谦虚吧，怎么说嘴上也不该不谦虚的!筱燕秋微笑着望着李雪芬，看着热情的李雪芬一点一点地凉下去。
致勃勃,奋,我为此请教过一位心理学家，他当时兴致勃勃正盯着我妻最先端上桌的团鱼汤，只是嗯嗯呵呵了一阵。,我为此请教过一位心理学家，他当时兴奋正盯着我妻最先端上桌的团鱼汤，只是嗯嗯呵呵了一阵。
无息的,地,心不惊，翅膀几乎不动，只让大气托著已可无声无息的翱翔。,心不惊，翅膀几乎不动，只让大气托著已可无声地翱翔。
手忙,乱了阵,女萝心想自己遇到了不喜欢看秧歌的知音了，便一阵手忙脚乱，给她搬了把椅子，并且泡了一壶香啧啧的热茶。,女萝心想自己遇到了不喜欢看秧歌的知音了，便一阵乱了阵脚，给她搬了把椅子，并且泡了一壶香啧啧的热茶。
自禁,由得,老船夫看看二老的神气，心中忽然高兴起来了，就情不自禁的高声叫着翠翠，要她下溪边来。,老船夫看看二老的神气，心中忽然高兴起来了，就不由得的高声叫着翠翠，要她下溪边来。
声,称,丢了钱，她敢骂日本鬼子了，她口口声声要去和小鬼子拚命！,丢了钱，她敢骂日本鬼子了，她声称要去和小鬼子拚命！
各色各,多,书信专栏原本应该多采多姿、各色各样才叫美丽活泼，可是手边的来信，归类起来却是如此的相同━━千篇一律的抱怨和苦痛，好似没有几个人对自己拥有的生活现况感觉欣赏与赞叹，也少有几个人除了看见自己之外还看见其他的人和事。,书信专栏原本应该多采多姿、多样才叫美丽活泼，可是手边的来信，归类起来却是如此的相同━━一样的抱怨和苦痛，好似没有几个人对自己拥有的生活现况感觉欣赏与赞叹，也少有几个人除了看见自己之外还看见其他的人和事。
律,样,书信专栏原本应该多采多姿、各色各样才叫美丽活泼，可是手边的来信，归类起来却是如此的相同━━千篇一律的抱怨和苦痛，好似没有几个人对自己拥有的生活现况感觉欣赏与赞叹，也少有几个人除了看见自己之外还看见其他的人和事。,书信专栏原本应该多采多姿、多样才叫美丽活泼，可是手边的来信，归类起来却是如此的相同━━一样的抱怨和苦痛，好似没有几个人对自己拥有的生活现况感觉欣赏与赞叹，也少有几个人除了看见自己之外还看见其他的人和事。
满,一点也,这回嘀咕的不是她的扮相和穿戴，而是她对这扮相和别人看她的态度：满不在乎。,这回嘀咕的不是她的扮相和穿戴，而是她对这扮相和别人看她的态度：一点也不在乎。
力尽,惫,那是站著的第七十五场讲话━━又一场汗透全身、筋疲力尽的两小时又十五分,那是站著的第七十五场讲话━━又一场汗透全身、疲惫的两小时又十五分
心,很,照理，他可以心满意足，不再顾虑仕途枯荣。,照理，他可以很满意，不再顾虑仕途枯荣。
如其来,然,这突如其来的消息，使她脑子轰地点着了一团火！,这突然的消息，使她脑子轰地点着了一团火！
机一动,劲,可是，除《禅外说禅》，我曾提供世尊拈花、迦叶微笑的些微线索以外，他都是借助于灵机一动，完成了任务。,可是，除《禅外说禅》，我曾提供世尊拈花、迦叶微笑的些微线索以外，他都是借助于机灵劲，完成了任务。
大模大样的,十分嚣张,鹅的步调从容，大模大样的，颇像平剧里的净角出场。,鹅的步调从容，十分嚣张，颇像平剧里的净角出场。
头,口,吴摩西已经想好了，从第十一天开始，头天晚上发面，第二天五更鸡叫起床揉面；一天仍蒸七锅馒头，推到十字街头去卖。,吴摩西已经想好了，从第十一天开始，头天晚上发面，第二天五更鸡叫起床揉面；一天仍蒸七锅馒头，推到街口去卖。
三,续,古炉村接二连三地死人，连立柱都死了，人们就越发认定村里是有鬼了。,古炉村连续地死人，连立柱都死了，人们就越发认定村里是有鬼了。
绝,停,可他不仅说“爱”，且滔滔不绝地说了许多爱的理由，听着、听着，我心不在焉了……,可他不仅说“爱”，且不停地说了许多爱的理由，听着、听着，我不专心了……
似,好像,吴荪甫脸上的肌肉似笑非笑地动了一下。,吴荪甫脸上的肌肉好像笑有没有笑地动了一下。
非,有没有,吴荪甫脸上的肌肉似笑非笑地动了一下。,吴荪甫脸上的肌肉好像笑有没有笑地动了一下。
一,付出真,然而白老太太一心一意只怕亲戚议论她亏待了没娘的七小姐，决定照原来计划，由徐太太择日请客，把宝络介绍给范柳原。,然而白老太太付出真心只怕亲戚议论她亏待了没娘的七小姐，决定照原来计划，由徐太太择日请客，把宝络介绍给范柳原。
一,每个,春来的身上有一种寂静的美，恬然的美，一举一动都透出弱柳扶风的意味。,春来的身上有一种寂静的美，恬然的美，每个举动都透出弱柳扶风的意味。
的,地,老舍打了个哈欠，揉了揉眼睛，擦了擦有气无力的说：“附近就有旅馆，拍拍脑袋算一个，找着那个就算那个。,老舍打了个哈欠，揉了揉眼睛，擦了擦无力地说：“附近就有旅馆，拍拍脑袋算一个，找着那个就算那个。
相,互,夫妇算是熟透了的，有时还得“相敬如宾”，别人可想而知。,妇算是熟透了的，有时还得“互敬”，别人一眼就能看出来。
无,打不起,在有一段日子里，两人却像是失了生活目标似的，有点无精打采。,在有一段日子里，两人却像是失了生活目标似的，有点打不起精神。
打采,神,在有一段日子里，两人却像是失了生活目标似的，有点无精打采。,在有一段日子里，两人却像是失了生活目标似的，有点打不起精神。
打采,气神,有一天没精打采地坐在窑门口，看到老老爷和一个人在葫芦架下说话，好像是那个人有什么病了，让老老爷给他看病，老老爷说我不是大夫，看不了病，那人说你有历头哩，历头上啥都有哩，老老爷就拿了一根筷子压那人舌头，说：你啊——那人长声啊着，然后说：我去王村让吴大夫抓了五服中药，吃了病没回头么。,有一天没有精气神地坐在窑门口，看到老老爷和一个人在葫芦架下说话，好像是那个人有什么病了，让老老爷给他看病，老老爷说我不是大夫，看不了病，那人说你有历头哩，历头上啥都有哩，老老爷就拿了一根筷子压那人舌头，说：你啊——那人长声啊着，然后说：我去王村让吴大夫抓了五服中药，吃了病没回头么。
心平,和,闺女们心平气和地围在一起，该说什么还是说什么。,闺女们和气地围在一起，该说什么还是说什么。
累月,年,一家人成年累月弹棉，全家男女老少，头发眉毛里，皆钻些棉毛或棉屑。,一家人年年弹棉，全家人，头发眉毛里，皆钻些棉毛或棉屑。
十字,道,你准备越过一个十字路口，不能不看见十字路口那个小庙，不到一个人高，一米宽，矮墩墩地守在交通忙乱的路口。,你准备越过一个道路交叉口，不能不看见交叉口那个小庙，不到一个人高，一米宽，矮墩墩地守在交通忙乱的路口。
十字路,交叉,你准备越过一个十字路口，不能不看见十字路口那个小庙，不到一个人高，一米宽，矮墩墩地守在交通忙乱的路口。,你准备越过一个道路交叉口，不能不看见交叉口那个小庙，不到一个人高，一米宽，矮墩墩地守在交通忙乱的路口。
摸摸,的,并没有什么了不起，但死的时候不用像那些姑娘那样隐姓埋名，葬的时候不用像那些军人那样偷偷摸摸、鬼鬼祟祟。,并没有什么了不起，但死的时候不用像那些姑娘那样隐藏姓名，葬的时候不用像那些军人那样偷偷的、不敢公开。
提,担,这样提心吊胆的，直到听见下堂的铃声，这个新头才口邦的一下，和旧头联成一气，然后跳着到操场去玩耍。,这样担心的，直到听见下堂的铃声，这个新头才口邦的一下，和旧头联成一气，然后跳着到操场去玩耍。
慢,有,费墨这时摘下眼镜擦汗，慢条斯理地发了言。,费墨这时摘下眼镜擦汗，有条理地发了言。
一窝蜂一样,十分拥挤,桥上一窝蜂一样，她简直看不清一堆堆是些什么人，她只觉得到处都是一条条人影，晃来，晃去，有的穿红，有的穿绿，细细尖尖的高跟鞋，蠢头蠢脑的日本木履，的的笃笃，在水泥桥上用力敲。,桥上十分拥挤，她简直看不清一堆堆是些什么人，她只觉得到处都是一条条人影，晃来，晃去，有的穿红，有的穿绿，细细尖尖的高跟鞋，蠢头蠢脑的日本木履，的的笃笃，在水泥桥上用力敲。
夜深人,寂,常常，在夜深人静的夜里，我凝望著一样又一样放在角落或者架子上的装饰，心中所想的却是每一个与物品接触过的人。,常常，在寂静的夜里，我凝望著一样又一样放在角落或者架子上的装饰，心中所想的却是每一个与物品接触过的人。
津津,很,我像个孩子一样看得津津有味，发出笑声。,我像个孩子一样看得很有滋味，发出笑声。
漫,毫,然后她转身打开门口的邮箱，居然将花丢了进去，这么的漫不经心而无礼。,然后她转身打开门口的邮箱，居然将花丢了进去，这么的毫不在意而无礼。
经心,在意,然后她转身打开门口的邮箱，居然将花丢了进去，这么的漫不经心而无礼。,然后她转身打开门口的邮箱，居然将花丢了进去，这么的毫不在意而无礼。
济于事,作用,仙坡一看三个打一个，太不公平，捋了一把树叶，往南星背上扔；可是无济于事，因为树叶打人是不疼的。,仙坡一看三个打一个，太不公平，捋了一把树叶，往南星背上扔；可是毫无作用，因为树叶打人是不疼的。
千方百计地,琢磨,全国各地的，少数民族的，各种辣椒，他都千方百计地弄来吃，剧团到上海演出，他帮助搞伙食，这下好，不会缺辣椒吃。,全国各地的，少数民族的，各种辣椒，他都琢磨弄来吃，剧团到上海演出，他帮助搞伙食，这下好，不会缺辣椒吃。
面面,因无奈互,说完，咳了一声，环视一下面面相觑的双方代表又说：“你们工人又说要成立工会么？,说完，咳了一声，环视一下因无奈互相看着的双方代表又说：“你们工人又说要成立工会么？
觑,看着,说完，咳了一声，环视一下面面相觑的双方代表又说：“你们工人又说要成立工会么？,说完，咳了一声，环视一下因无奈互相看着的双方代表又说：“你们工人又说要成立工会么？
难临头,祸到来,空气凝重，气压越降越低，一种大难临头的恐怖使岛上的生物都像死去了一般鸦雀无声。,空气凝重，气压越降越低，一种大祸到来的恐怖使岛上的生物都像死去了一般寂静。
马马虎虎的,糊弄,我想，自要找到个理想的女子，大概能马马虎虎的混几十年。,我想，自要找到个理想的女子，大概能糊弄混几十年。
有,自出,"新月在度过有生以来最愉快的一个下午，她揪着哥哥的脖子，一颠儿一颠儿地享受""走马逛北平""的乐趣，天星一边爬着、蹦着，还气喘吁吁地唱着数来宝：","新月在度过自出生来最愉快的一个下午，她揪着哥哥的脖子，一颠儿一颠儿地享受""走马逛北平""的乐趣，天星一边爬着、蹦着，还喘气唱着数来宝："
二,干净,忙了几乎一个下午，办公窑终于被玉亭重新收拾得一干二净。,忙了几乎一个下午，办公窑终于被玉亭重新收拾得干干净净。
惊肉跳,忧虑,在众人惴惴不安、心惊肉跳的时候，却有两个人无忧无虑，照旧干自己的营生。,在众人担心忧虑的时候，却有两个人毫无忧虑，照旧干自己的营生。
共,大家都能欣,“雅俗共赏”是以雅为主的，从宋人的“以俗为雅”以及常语的“俗不伤雅”，更可见出这种宾主之分。,“优雅通俗大家都能欣赏”是以雅为主的，从宋人的“以俗为雅”以及常语的“俗不伤雅”，更可见出这种宾主之分。
聚精会神的,认真地,好容易，好容易，台上才打通，他随着第一声的鼓，又张开了嘴，而且把脖子伸出去，聚精会神的看台上怎么打鼓，怎么敲锣。,好容易，好容易，台上才打通，他随着第一声的鼓，又张开了嘴，而且把脖子伸出去，认真地看台上怎么打鼓，怎么敲锣。
穷无尽,数,十年中，他那无穷无尽的思念，现在是没有了。,十年中，他那无数的思念，现在是没有了。
于衷,静,既然各县都准备这样搞，原西县当然也不能无动于衷。,既然各县都准备这样搞，原西县当然也不能毫无动静。
色古香,韵,这里虽也临湖，因为屋子深，显得阴暗些；可是古色古香，阴暗得好。,这里虽也临湖，因为屋子深，显得阴暗些；可是很有古韵，阴暗得好。
岂,没,有一家有一棵天竹，结了那么多果子，简直是岂有此理!而且颜色是正红，——一般天竹果都偏一点紫。,有一家有一棵天竹，结了那么多果子，简直是没有道理而且颜色是正红，——一般天竹果都偏一点紫。
此,道,有一家有一棵天竹，结了那么多果子，简直是岂有此理!而且颜色是正红，——一般天竹果都偏一点紫。,有一家有一棵天竹，结了那么多果子，简直是没有道理而且颜色是正红，——一般天竹果都偏一点紫。
头,开始,望到那很苗条很柔软的背影，在心中起了小小的争持，从头到尾已有三个钟头了。,望到那很苗条很柔软的背影，在心中起了小小的争持，从开始到现在已有三个钟头了。
尾,现在,望到那很苗条很柔软的背影，在心中起了小小的争持，从头到尾已有三个钟头了。,望到那很苗条很柔软的背影，在心中起了小小的争持，从开始到现在已有三个钟头了。
脱,随,这一切都出乎孟嘉的意料，他不由得脱口而出：“妙想天开！,这一切都出乎孟嘉的意料，他不由得随口说道：“想法奇特！
而出,说道,这一切都出乎孟嘉的意料，他不由得脱口而出：“妙想天开！,这一切都出乎孟嘉的意料，他不由得随口说道：“想法奇特！
天开,法奇特,这一切都出乎孟嘉的意料，他不由得脱口而出：“妙想天开！,这一切都出乎孟嘉的意料，他不由得随口说道：“想法奇特！
截了当,接,最直截了当的是当朝左相吴充，有次他与皇帝谈起曹操，皇帝对曹操评价不高，吴充立即接口说：“曹操猜忌心那么重还容得下祢衡，陛下怎么容不下一个苏东坡呢？”,最直接的是当朝左相吴充，有次他与皇帝谈起曹操，皇帝对曹操评价不高，吴充立即接口说：“曹操猜忌心那么重还容得下祢衡，陛下怎么容不下一个苏东坡呢？”
轰,令人激,他常常耻笑男子中无像样的男子，所以一切所见所闻全为平凡，轰动人心的文坛新话太少。,他常常耻笑男子中无像样的男子，所以一切见闻全为平凡，令人激动的文坛新话太少。
静极思,想活,七爷静极思动，自以为很有把握，自告奋勇来天津办理这件事。,七爷想活动，自以为很有把握，主动来天津办理这件事。
出乎,令人,出乎意料之外的，她们看见有人在天井里。,令人意外的，她们看见有人在天井里。
际,边,山上有了小屋，好比一望无际的水面飘过一片风帆，辽阔无边的天空掠景中的一点生气，一点情调。,山上有了小屋，好比无边的水面飘过一片风帆，辽阔无边的天空掠景中的一点生气，一点情调。
三不四,像样,假若母女之间为桐芳而发生了冲突，女儿一气而嫁个不三不四的，长像漂亮而家里没有一斗白米的兔蛋，岂不是自己打碎了自己的玛瑙盘子翡翠碗么？,假若母女之间为桐芳而发生了冲突，女儿一气而嫁个不像样的，长像漂亮而家里没有一斗白米的兔蛋，岂不是自己打碎了自己的玛瑙盘子翡翠碗么？
来说去,都,不幸这些自己往往是简单的，说来说去是那一套；终于说的听的都腻了。,不幸这些自己往往是简单的，怎么说都是那一套；终于说的听的都腻了。
紧不慢,着急,少女们追随着旅人，他却只顾往前走，不紧不慢，和少女们保持着小小的距离，他们的脚步声汇合成和谐沉稳的节奏……,少女们追随着旅人，他却只顾往前走，不着急，和少女们保持着小小的距离，他们的脚步声汇合成和谐沉稳的节奏……
八落,乱,奶奶站在路邊，聽著七零八落的打擊肉體沉悶聲響，對著余占鰲頓眸一瞥，然後仰面看著天邊的閃電，臉上凝固著的，仍然是那種粲然的，黃金一般高貴輝煌的笑容。,奶奶站在路邊，聽著零乱的打擊肉體沉悶聲響，對著余占鰲頓眸一瞥，然後仰面看著天邊的閃電，臉上凝固著的，仍然是那種粲然的，黃金一般高貴輝煌的笑容。
挨,一,走出一小段路后，就是田家圪崂——一个山窝里，土窑石窑，挨家挨户；高低错落，层层叠叠。,走出一小段路后，就是田家圪崂——一个山窝里，土窑石窑，一家挨着一家；高低错落，层层叠叠。
户,着一家,走出一小段路后，就是田家圪崂——一个山窝里，土窑石窑，挨家挨户；高低错落，层层叠叠。,走出一小段路后，就是田家圪崂——一个山窝里，土窑石窑，一家挨着一家；高低错落，层层叠叠。
走投无,没有出,眼看走投无路，身上的几个钱也快吃光的时候，他突然听说上海的木耳价钱很贵，一斤能卖二十多元。,眼看没有出路，身上的几个钱也快吃光的时候，他突然听说上海的木耳价钱很贵，一斤能卖二十多元。
开门见山的,直接,我把车窗打开，再替他把音乐关上，很坦然的注视著他，对他开门见山的说∶“对不起，我想你找错人了。”,我把车窗打开，再替他把音乐关上，很坦然的注视著他，对他直接说∶“对不起，我想你找错人了。”
失措,地,麻子黑也要去的，他直接从麦地里蹬了过去，一只野鸡惊慌失措飞起来，飞起一程落下来，又飞起一程落下来，他一边急喊着狗，一边撵了去。,麻子黑也要去的，他直接从麦地里蹬了过去，一只野鸡惊慌地飞起来，飞起一程落下来，又飞起一程落下来，他一边急喊着狗，一边撵了去。
以,认,他们的见解与剖析，经常说得透彻、正确，比作者自以为是的思路，高明得多。,他们的见解与剖析，经常说得透彻、正确，比作者自认为的思路，高明得多。
长,沉,在红树林边大舞台的奠基仪式上，李高潮意味深长地问：怎么样，林市长，,在红树林边大舞台的奠基仪式上，李高潮深沉地问：怎么样，林市长
去向,道到哪里,这些人们自己的东西也常被别人拿得不知去向，他们转又拿别人的；他们是这么惯了的，但是太文雅拘谨的静女士却不惯。,这些人们自己的东西也常被别人拿得不知道到哪里，他们转又拿别人的；他们是这么惯了的，但是太文雅拘谨的静女士却不惯。
临下,傲,她居高临下，怒气冲冲地盯着方富贵。,她高傲，愤怒地盯着方富贵。
方设,尽办,别人称为能干人的，是不给不与，也能想方设法偷，设法抢，终于把所要的拿到手，或一时，或永久。,别人称为能干人的，是不给不与，也能想尽办法偷，设法抢，终于把所要的拿到手，或一时，或永久。
出其不,十分,事出仓促，吴国船只，出其不意，顺风而下，围住了,事出仓促，吴国船只，十分意外，顺风而下，围住了
旁若,毫,"爱和罗彻斯特的纠葛上，她的耳旁，老是回响着别的声音，那是在期中考试的成绩公布之后，谢秋思在宿舍里旁若无人地发牢骚：""哼，有啥了勿起？","爱和罗彻斯特的纠葛上，她的耳旁，老是回响着别的声音，那是在期中考试的成绩公布之后，谢秋思在宿舍里毫无顾及地发牢骚：""哼，有啥了勿起？"
人,顾及,"爱和罗彻斯特的纠葛上，她的耳旁，老是回响着别的声音，那是在期中考试的成绩公布之后，谢秋思在宿舍里旁若无人地发牢骚：""哼，有啥了勿起？","爱和罗彻斯特的纠葛上，她的耳旁，老是回响着别的声音，那是在期中考试的成绩公布之后，谢秋思在宿舍里毫无顾及地发牢骚：""哼，有啥了勿起？"
一刀两,了,他给我的那些东西，我不愿意要；既然要离开他，便一刀两断。,他给我的那些东西，我不愿意要；既然要离开他，便了断干净。
二去,来回回,一起上酒吧，一起叹气说疯话，最后又彼此留地址，一来二去，成了好友。,一起上酒吧，一起叹气说疯话，最后又彼此留地址，来来回回，成了好友。
赤,空,你看，我部空有一群热血男儿，但几乎赤手空拳，这些武器弹药……”,你看，我部空有一群热血男儿，但几乎空手，这些武器弹药……”
恰到,正,她们脸上的脂粉总会显得均匀而恰到好处，眼影、唇线的描绘不仅是在夜晚的盛会，就是在烈日下也会一丝不苟甚至浓重得赫然醒目。,她们脸上的脂粉总会显得均匀而正好，眼影、唇线的描绘不仅是在夜晚的盛会，就是在烈日下也会很认真甚至浓重得令人印象深刻。
恍如,好像,离开我的第二祖国不过几个月，乍听乡音恍如隔世，千山万水的奔回来，却已是无家可归。,离开我的第二祖国不过几个月，乍听乡音好像隔代，不顾艰辛的奔回来，却已是没有家回去。
世,代,离开我的第二祖国不过几个月，乍听乡音恍如隔世，千山万水的奔回来，却已是无家可归。,离开我的第二祖国不过几个月，乍听乡音好像隔代，不顾艰辛的奔回来，却已是没有家回去。
无,没有,离开我的第二祖国不过几个月，乍听乡音恍如隔世，千山万水的奔回来，却已是无家可归。,离开我的第二祖国不过几个月，乍听乡音好像隔代，不顾艰辛的奔回来，却已是没有家回去。
可归,回去,离开我的第二祖国不过几个月，乍听乡音恍如隔世，千山万水的奔回来，却已是无家可归。,离开我的第二祖国不过几个月，乍听乡音好像隔代，不顾艰辛的奔回来，却已是没有家回去。
西歪,闭,这庙现在除过剩一座东倒西歪的戏台子外，已经成了一个塌墙烂院。,这庙现在除过剩一座倒闭的戏台子外，已经成了一个塌墙烂院。
为命,靠生活,只因跟著丈夫相依为命，生产的事情，约好了绝对不去请求村中的老妇人来帮忙。,只因跟著丈夫依靠生活，生产的事情，约好了绝对不去请求村中的老妇人来帮忙。
十全十,完,步和努力的人一定要奋斗不息，努力不息的）可是当我们已经十全十美的时候，我们要怎样,步和努力的人一定要奋斗不息，努力不息的）可是当我们已经完美的时候，我们要怎样
震,真的人,几十只也许上百只蜂箱布置在小屋四周，数万只蜂儿齐唱，震耳欲聋，使养蜂人直到冬天耳朵里仍然是起起落落的蜂鸣，上瘾似地梦里也闻见葵花的香风。,几十只也许上百只蜂箱布置在小屋四周，数万只蜂儿齐唱，真的人耳朵快聋了，使养蜂人直到冬天耳朵里仍然是起起落落的蜂鸣，上瘾似地梦里也闻见葵花的香风。
欲,朵快,几十只也许上百只蜂箱布置在小屋四周，数万只蜂儿齐唱，震耳欲聋，使养蜂人直到冬天耳朵里仍然是起起落落的蜂鸣，上瘾似地梦里也闻见葵花的香风。,几十只也许上百只蜂箱布置在小屋四周，数万只蜂儿齐唱，真的人耳朵快聋了，使养蜂人直到冬天耳朵里仍然是起起落落的蜂鸣，上瘾似地梦里也闻见葵花的香风。
黄金,美好,不幸这样的黄金时代已成过去，娴娴非复两年前的娴娴了。,不幸这样的美好时代已成过去，娴娴非复两年前的娴娴了。
念念不,很难,任何人如果跟三毛聊过五分钟，一定会念念不忘。,任何人如果跟三毛聊过五分钟，一定会很难忘。
名副其,确确实,在北京有的医院别号是“高等台基”，有的雅称是某大学分院，这已够新鲜，但还不妨事，医院是医院的机关，只要它这一点能名副其实的做到，你管得它其他附带的作用。,在北京有的医院别号是“高等台基”，有的雅称是某大学分院，这已够新鲜，但还不妨事，医院是医院的机关，只要它这一点能确确实实的做到，你管得它其他附带的作用。
山人海,很多,白鹿村清静的村巷被各个村庄来的男人女人拥塞起来，戏楼下的广场上人山人海，后台那边不断发生骚乱，好多人搭着马架爬上后窗窥视捆在大柱上的老和尚。,白鹿村清静的村巷被各个村庄来的男人女人拥塞起来，戏楼下的广场上人很多，后台那边不断发生骚乱，好多人搭着马架爬上后窗窥视捆在大柱上的老和尚。
夺眶而,流,淑英依旧垂着头应了一声“是”，泪珠不由她管束地夺眶而出。,淑英依旧垂着头应了一声“是”，泪珠不由她管束地流出来。
古往今,一直以,因此，古往今来，更能消解“德”的，是“力”。,因此，一直以来，更能消解“德”的，是“力”。
单行,幸接连发生,我爹死得早，我和我娘全凭叔叔和小娘照顾，可祸不单行，我小娘就瘫了，她也是没福的人，叔叔‘文革’中受批斗，她身子好好的，担惊受怕，叔叔恢复工作了，她却一场中风，至今半死不活地躺着。,我爹死得早，我和我娘全凭叔叔和小娘照顾，可不幸接连发生，我小娘就瘫了，她也是没福的人，叔叔‘文革’中受批斗，她身子好好的，害怕担心，叔叔恢复工作了，她却一场中风，至今奄息地躺着。
