idiom,explanation,original_sentence,original_paraphrase
网络自己的饭碗会保不住,影响,此外，还要克服学术界的传统和既得利益。比如，有些教师担心，如果他们将所有教学资料上传到网络，自己的饭碗会保不住。,此外，还有克服学术界的传统和固有利益的问题，例如一些讲师担心，如果他们把所有材料放在网上，他们的生计会受到影响。
铤而走,冒,使用利用型谈判方法必须非常巧妙，因为没有对手如此铤而走险的欢迎或容忍无条件被利用。,使用利用型谈判方法必须非常巧妙，因为没有对手如此冒险的欢迎或容忍无条件被利用。
观光,游,观光客把英国许多最心旷神怡的景色弄得俗不可耐。,游客使英国许多最让人愉悦的地方变得庸俗。
把,使,观光客把英国许多最心旷神怡的景色弄得俗不可耐。,游客使英国许多最让人愉悦的地方变得庸俗。
景色弄,地方变,观光客把英国许多最心旷神怡的景色弄得俗不可耐。,游客使英国许多最让人愉悦的地方变得庸俗。
入歧途,的道路,小说的现实，是虚构的现实，任何跳出小说以外进行指涉的企图都是误入歧途。,小说的现实，是虚构的现实，任何跳出小说以外进行指涉的企图都是走上错误的道路。
无,没有,凉鞋或平底鞋，穿比较宽松的针织外衣，打造比较无忧无虑的形象。,凉鞋或平底鞋，穿比较宽松的针织外衣，打造比较没有忧虑的形象。
可奈何,助,他无可奈何地监视着她把东西扔进几只大箱子里。,他无助地看着她把东西扔进几只大箱子里。
监视,看,他无可奈何地监视着她把东西扔进几只大箱子里。,他无助地看着她把东西扔进几只大箱子里。
败俱,人都受,两位骑士就镜子反映的是金光还是银光的问题争吵并打斗起来，两败俱伤，筋疲力尽。,两位骑士就镜子反映的是金光还是银光的问题争吵并打斗起来，两人都受伤，极度疲劳。
筋,极度,两位骑士就镜子反映的是金光还是银光的问题争吵并打斗起来，两败俱伤，筋疲力尽。,两位骑士就镜子反映的是金光还是银光的问题争吵并打斗起来，两人都受伤，极度疲劳。
力尽,劳,两位骑士就镜子反映的是金光还是银光的问题争吵并打斗起来，两败俱伤，筋疲力尽。,两位骑士就镜子反映的是金光还是银光的问题争吵并打斗起来，两人都受伤，极度疲劳。
沁,令,奶酒，蒙古语称“阿日里”。澄澈醇香，沁人心脾，酒性柔软，口感酸甜。,奶酒，蒙古语称“阿日里”。澄澈醇香，令人舒适，酒性柔软，口感酸甜。
心脾,舒适,奶酒，蒙古语称“阿日里”。澄澈醇香，沁人心脾，酒性柔软，口感酸甜。,奶酒，蒙古语称“阿日里”。澄澈醇香，令人舒适，酒性柔软，口感酸甜。
花,一,向日葵花类的东西会让狮子座母亲心花怒放，它乐观向上的个性正好和狮子座妈妈完全契合。,当看到向日葵一类的花朵时，狮子妈妈们感到很高兴，它乐观向上的个性正好和狮子座妈妈完全契合。
座母亲心花怒放,妈妈们感到很高兴,向日葵花类的东西会让狮子座母亲心花怒放，它乐观向上的个性正好和狮子座妈妈完全契合。,当看到向日葵一类的花朵时，狮子妈妈们感到很高兴，它乐观向上的个性正好和狮子座妈妈完全契合。
犹豫不,无法,尽管这样，球员有时还是对攻到篮下犹豫不决，因为他们知道那些假摔者会突然冒出来然后给你来一个凭空捏造的进攻犯规。,尽管这样，球员有时还是对攻到篮下无法决断，因为他们知道那些假摔者会突然冒出来然后给你来一个假造的进攻犯规。
凭空捏,假,尽管这样，球员有时还是对攻到篮下犹豫不决，因为他们知道那些假摔者会突然冒出来然后给你来一个凭空捏造的进攻犯规。,尽管这样，球员有时还是对攻到篮下无法决断，因为他们知道那些假摔者会突然冒出来然后给你来一个假造的进攻犯规。
与众,跟大家,而且这将会影响到上帝赐给使你成为这个世界上与众不同的人的特殊礼物。,而且这将会影响到上帝赐给使你成为这个世界上跟大家不一样的人的特殊礼物。
同,一样,而且这将会影响到上帝赐给使你成为这个世界上与众不同的人的特殊礼物。,而且这将会影响到上帝赐给使你成为这个世界上跟大家不一样的人的特殊礼物。
根深蒂,基础稳,但在世界各地，新闻界激进的传统并不是那么根深蒂固，或那么为“他人”所容忍的。,但在世界各地，新闻界激进的传统并不是那么基础稳固，不容易动摇，或那么为“他人”所容忍的。
众所周,大家普遍,但是众所周知，多线程编程是很容易出错的，所以这个限制并不是一点益处都没有。,但是大家普遍知道，多线程编程是很容易出错的，所以这个限制并不是一点益处都没有。
但,然而，,但第一梯队并非牢不可破。在今年排名前25的课程中，还有两个颇为引人注目的新秀。,然而，第一梯队并非一直不变。今年前25名中的两个课程是令人印象深刻的新秀。
牢,一直,但第一梯队并非牢不可破。在今年排名前25的课程中，还有两个颇为引人注目的新秀。,然而，第一梯队并非一直不变。今年前25名中的两个课程是令人印象深刻的新秀。
可破,变,但第一梯队并非牢不可破。在今年排名前25的课程中，还有两个颇为引人注目的新秀。,然而，第一梯队并非一直不变。今年前25名中的两个课程是令人印象深刻的新秀。
中还有两个颇为引,是令,但第一梯队并非牢不可破。在今年排名前25的课程中，还有两个颇为引人注目的新秀。,然而，第一梯队并非一直不变。今年前25名中的两个课程是令人印象深刻的新秀。
注目,印象深刻,但第一梯队并非牢不可破。在今年排名前25的课程中，还有两个颇为引人注目的新秀。,然而，第一梯队并非一直不变。今年前25名中的两个课程是令人印象深刻的新秀。
音,其他意思,我的一举一动，自己看着也觉得不顺眼，我的一言一语，听起来似乎都弦外有音。,我的一切举动，自己看着也觉得不顺眼，我的一言一语，听起来似乎都有其他意思。
夺天工,妙造就,在这方寸之地，年夜天然地巧夺天工恣意砥砺挥洒，地球上各类景物在这里浓缩。,在这不大的地方，年夜天然地巧妙造就恣意砥砺挥洒，地球上各类景物在这里浓缩。
鱼肉,欺压,在过去豪强鱼肉百姓。,在过去豪强欺压百姓。
挺而走,冒,从印度政府所发表的声明中可看出一个暴君挺而走险的心态。,从印度政府所发表的声明中可看出一个暴君冒险的心态。
几净,亮整洁,如今的医院鲜花盛开，窗明几净，病房干净和充满欢乐，所有这一切都应归功于她的工作。,如今的医院鲜花盛开，明亮整洁，病房干净和充满欢乐，所有这一切都应归功于她的工作。
去粗,提,我们认为，进行这些讨论，诚意澄清这些根本性问题，去粗取精，以便就工作计划达成全面协定，符合我们大家的利益。,我们认为，进行这些讨论，诚意澄清这些根本性问题，提取精华，以便就工作计划达成全面协定，符合我们大家的利益。
与,和,人的七情六欲注定着人是逃不过沉默、孤独与悲伤。,七情之众和六情之乐使人们无法摆脱沉默、孤独和悲伤。
出,有,有些妇女即使知道丈夫出外寻花问柳，做爱时依然不采取防御措施。,尽管有些妻子知道丈夫有外遇，做爱时依然不采取防御措施。
兵,战士,理查是个身经百战的老兵。,理查是个打过多次仗的老战士。
谈虎,吓得脸,一提起癌，人们便谈虎色变。,一提起癌，人们便吓得脸色就变了。
相,没有什么争执，社会,我们是有些本地人眼中的陌生人，我们要将心比心。经济好的时候，大家都有工作做，相安无事，天下太平。,我们是有些本地人眼中的陌生人，我们要为别人着想。经济好的时候，大家都有工作做，没有什么争执，社会安定。
无事天下太平,定,我们是有些本地人眼中的陌生人，我们要将心比心。经济好的时候，大家都有工作做，相安无事，天下太平。,我们是有些本地人眼中的陌生人，我们要为别人着想。经济好的时候，大家都有工作做，没有什么争执，社会安定。
这,已经,“你这够忙的啊？”张斌睡眼惺忪地伸手去拿床头的手表，早上七点。,“你已经够忙了吗？”早晨七点钟，张宾迷糊地想伸手去拿表。
的啊,了吗,“你这够忙的啊？”张斌睡眼惺忪地伸手去拿床头的手表，早上七点。,“你已经够忙了吗？”早晨七点钟，张宾迷糊地想伸手去拿表。
斌睡眼惺忪,宾迷糊,“你这够忙的啊？”张斌睡眼惺忪地伸手去拿床头的手表，早上七点。,“你已经够忙了吗？”早晨七点钟，张宾迷糊地想伸手去拿表。
当身先士卒,该起到榜样的作用,如果俄罗斯联邦呼吁各国维护国际秩序，那么它应当身先士卒。,如果俄罗斯联邦呼吁各国维护这一国际秩序，它应该起到榜样的作用。
轻车,又,对此，信孚银行只需以其早已轻车熟路的各种避险技术来冲销风险。,对此，信孚银行只需以其早已又熟悉又容易的各种避险技术来冲销风险。
路,悉又容易,对此，信孚银行只需以其早已轻车熟路的各种避险技术来冲销风险。,对此，信孚银行只需以其早已又熟悉又容易的各种避险技术来冲销风险。
深,很多而且严,这种团结的表现就是古巴一向支持这个灾难深重的民族为获得所有不可剥夺的合法权利所作的努力。,这种团结的表现就是古巴一向支持这个灾难很多而且严重的民族为获得所有不可剥夺的合法权利所作的努力。
草草了,匆忙地完,因此不能草草了事，而要采取全球但却是有目标的视角。,因此不能匆忙地完事，而要采取全球但却是有目标的视角。
鼓作,口,他一鼓作气把遗留下来的工作做完了。,他鼓起干劲一口气把遗留下来的工作做完了。
昏脑胀,晕,数目字老是把我弄得头昏脑胀。,数目字老是把我弄得头晕。
案,证据,法律效力更有效地产生于有案可查的文件中。,法律效力更有效地产生于有证据可查的文件中。
格,当场,"为了划定一种新的(官方认可的)反恐办法的范围，援引了""有目标的击毙""或""格杀勿论""等说法。","为了划定一种新的(官方认可的)反恐办法的范围，援引了""有目标的击毙""或""当场杀死""等说法。"
勿论,死,"为了划定一种新的(官方认可的)反恐办法的范围，援引了""有目标的击毙""或""格杀勿论""等说法。","为了划定一种新的(官方认可的)反恐办法的范围，援引了""有目标的击毙""或""当场杀死""等说法。"
微,人假装,她虚情假意地对不受她欢迎的访客微笑。,她对她不欢迎的客人假装笑了。
许,很,浦东是上海新区，有许多高楼大厦如高468米的东方明珠电视塔。,浦东是上海的新地区，有很多高楼，就像468米高的东方明珠电视塔。
至,最,这位新总统的言论的确振奋人心，他讲到过法律的至高无上。,这位新总统的言论的确振奋，他讲到过法律的最高地位。
无上,地位,这位新总统的言论的确振奋人心，他讲到过法律的至高无上。,这位新总统的言论的确振奋，他讲到过法律的最高地位。
蹈矩,范,他那蓬乱的头发和自然的魅力给一个以循规蹈矩著称的政党带来了清新感觉。,他那蓬乱的头发和自然的魅力给一个以规范著称的政党带来了清新感觉。
力,神,可爱、精力充沛的小猪，在“奥莉薇”续集中回来了。,可爱、体力强盛精神充足的小猪，在“奥莉薇”续集中回来了。
沛,足,可爱、精力充沛的小猪，在“奥莉薇”续集中回来了。,可爱、体力强盛精神充足的小猪，在“奥莉薇”续集中回来了。
花花公,不干正事的、有钱人家的,既然如此，就甩掉你的男友，另外找个花花公子交往一年看看。,既然如此，就甩掉你的男友，另外找个不干正事的、有钱人家的子弟交往一年看看。
条不紊,秩序,但就如同汉密尔顿的赛车一般，在迈凯轮车队不是每件事都在有条不紊地运行。,但就如同汉密尔顿的赛车一般，在迈凯轮车队不是每件事都在有秩序地运行。
同心协,的一起努,通过各局和部门同心协力，公务员编制已逐步缩减。,通过各局和部门的一起努力，公务员编制已逐步缩减。
臭,坏,但是据称可以通过宪法来实施这些措施，而修改宪法向来以难通过而臭名昭著。,但是据称可以通过宪法来实施这些措施，而修改宪法向来以难通过而坏名声人人都知道。
昭著,声人人都知道,但是据称可以通过宪法来实施这些措施，而修改宪法向来以难通过而臭名昭著。,但是据称可以通过宪法来实施这些措施，而修改宪法向来以难通过而坏名声人人都知道。
无,一点也不,很明显他们不得不讲述的故事很有可能会经由家庭或朋友传播而表现出对海军决定的无动于衷。,很明显他们不得不讲述的故事很有可能会经由家庭或朋友传播而表现出对海军决定的一点也不动心。
于衷,心,很明显他们不得不讲述的故事很有可能会经由家庭或朋友传播而表现出对海军决定的无动于衷。,很明显他们不得不讲述的故事很有可能会经由家庭或朋友传播而表现出对海军决定的一点也不动心。
截,界限分明、全,尽管他们试图在三月十一日举行抗议活动，但这个截然不同的反对派还太脆弱，无法组织大规模的集会或示威活动。,尽管他们试图在三月十一日举行抗议活动，但这个界限分明、全然不一样的反对派还太脆弱，无法组织大规模的集会或示威活动。
同,一样,尽管他们试图在三月十一日举行抗议活动，但这个截然不同的反对派还太脆弱，无法组织大规模的集会或示威活动。,尽管他们试图在三月十一日举行抗议活动，但这个界限分明、全然不一样的反对派还太脆弱，无法组织大规模的集会或示威活动。
开,真,他把自己的一个女儿嫁给了拉什沃思先生，你就千万别指望他会异想天开地体贴什么儿女之情。,他把自己的一个女儿嫁给了拉什沃思先生，你就千万别指望他会天真地体贴什么爱情。
儿女之,爱,他把自己的一个女儿嫁给了拉什沃思先生，你就千万别指望他会异想天开地体贴什么儿女之情。,他把自己的一个女儿嫁给了拉什沃思先生，你就千万别指望他会天真地体贴什么爱情。
如骨鲠在喉,很难受,上述重新投入市场怀抱的政策让人联想起1979年邓小平最初那次资本主义转向，当时的政策令中国根深蒂固的企业及政府精英一直如骨鲠在喉。,上述重新投入市场怀抱的政策让人联想起1979年邓小平最初那次资本主义转向，当时的政策令中国根基很牢固很深的企业及政府精英一直很难受。
耳目,注意到,同时，他会将自己包装成身无长物，不值得别人谋取利用的模样，以避人耳目。,同时，他会将自己包装成普通、不值得别人谋取利用的模样以避免别人注意到。
悛,知悔改,他们怙恶不悛，妄图扩大杀戮的规模和范围。,他们不知悔改，妄图扩大杀戮的规模和范围。
坐收渔,从中获,当时的情况和现在一样，那些技术贩子和咨询师们发出警报，然后通过散布恐慌坐收渔利。,当时的情况和现在一样，那些技术贩子和咨询师们发出警报，然后通过散布恐慌从中获利。
来说,而言,个人来说，我并不曾有过一丁点儿相似的经历，但我愿意十二万分相信莎士比亚曾经历过。,就我个人而言，我没有经历过任何接近这一点的事情，但我非常愿意相信莎士比亚曾经历过。
并不曾,没,个人来说，我并不曾有过一丁点儿相似的经历，但我愿意十二万分相信莎士比亚曾经历过。,就我个人而言，我没有经历过任何接近这一点的事情，但我非常愿意相信莎士比亚曾经历过。
无敌,最强,沃德并不是发挥最稳定的球员，可是一旦进入状态，他似乎就是天下无敌的王者。,沃德并不是发挥最稳定的球员，可是一旦进入状态，他似乎就是天下最强的王者。
之徒,的人,别玩弄她的感情了，你这个好色之徒！,别玩弄她的感情了，你这个好色的人！
可,能用,文化已经为死神进行了一番修饰，把它称为难以想象和只可意会不可言传的禁区。,文化已经为死神进行了一番修饰，把它称为难以想象和只可意会不能用言语来表达的禁区。
传,语来表达,文化已经为死神进行了一番修饰，把它称为难以想象和只可意会不可言传的禁区。,文化已经为死神进行了一番修饰，把它称为难以想象和只可意会不能用言语来表达的禁区。
海枯石烂直到地老天荒,永远,我要与你相拥在山的巅峰，我要和你徜徉在海的怀抱，我要你就这样永远依偎在我的身旁直到海枯石烂直到地老天荒。,我要与你相拥在山的巅峰，我要和你徜徉在海的怀抱，我要你就这样永远依偎在我的身旁直到永远。
摇尾乞,装出可,君特，我不会摇尾乞怜，也不会谄媚奉承，我是原来的我！,君特，我不会装出可怜的模样，也不会谄媚奉承，我是原来的我！
缚,己使自己陷入困境,还有那种对自我实现的预信感。如果你觉得自己会失败，就很可能裹足不前甚至作茧自缚了（有时是无意识的）。,还有那种对自我实现的预信感。如果你觉得自己会失败，就很可能无法进步甚至自己使自己陷入困境了（有时是无意识的）。
真意,的,不知道有多少语法错误，不知道发出去你收到没有。只知道我对你真心真意?,不知道有多少语法错误，不知道发出去你收到没有。只知道我对你是真心的?
力,强,为对应经济下滑，英国也采取了一些政策，防止年轻力壮的大量依赖救济金。,为对应经济下滑，英国也采取了一些政策，防止年轻强壮的人大量依赖救济金。
放厥词,声议论,如今班农已不在，但他会在布莱因巴特新闻网的老窝里继续大放厥词他在宣布离职的同一天就回归了那里。,如今班农已不在，但他会在布莱因巴特新闻网的老窝里继续大声议论他在宣布离职的同一天就回归了那里。
众,用许多人力,说到底，对拯救生命的措施要兴师动众，而对当前致人以死的巴勒斯坦恐怖主义却漠然置之，实在让人无法容忍。,说到底，对拯救生命的措施要动用许多人力，而对当前致人以死的巴勒斯坦恐怖主义却态度冷淡，实在让人无法容忍。
自,感到,他沉重地感到了自惭形秽。,他沉重地感到了感到惭愧。
形秽,愧,他沉重地感到了自惭形秽。,他沉重地感到了感到惭愧。
刀切,致,“一刀切”的解决方案不适合任何国家。,“一致”的解决方案不适合任何国家。
大肆,极力,在最近对于绿色中国的大肆宣传背后，有一个令人担忧的因素——一种不说就能明白的感觉，即中国将会实现其绿色野心，而美国或许会失败。,在最近对于绿色中国的极力宣传使大家知道背后，有一个令人担忧的因素——一种不说就能明白的感觉，即中国将会实现其绿色野心，而美国或许会失败。
虽然,尽管,虽然我们承认经济及社会理事会取得了积极的进展，但我们不能固步自封。,尽管我们承认经济及社会理事会取得了积极进展，但我们不能满足。
穷,比深长,如果你还没有领略回味无穷的中国响沙，你就错过了人生中的一个真实美好的快乐。,如果你还没有领略回想起来意味无比深长的中国响沙，你就错过了人生中的一个真实美好的快乐。
相提并,放在一起谈,而人们常把这种做法与日本银行业在20世纪80年代的肆意挥霍相提并论，则显得不明智。,而人们常把这种做法与日本银行业在20世纪80年代的肆意挥霍放在一起谈论或看待，则显得不明智。
永无,没有终,仅仅几天，尿布，吃的，喝的，以及衣服都因为他们长得太快而不合适，这似乎是永无止境的财政支出。,仅仅几天，尿布，吃的，喝的，以及衣服都因为他们长得太快而不合适，这似乎是没有终止的财政支出。
高在上,位脱离群众,如果他们继续看到高官的孩子仍然高高在上，他们的不满就会加剧。,如果他们继续看到高官的孩子仍然身处高位脱离群众，他们的不满就会加剧。
无所,不,中国的无所作为与其对待第三世界贸易伙伴的唯利是图的策略表明了其外交政策的伪善。,中国的不作为和对第三世界贸易伙伴采取的逐利的策略，证明了其外交政策的虚伪。
与其,和,中国的无所作为与其对待第三世界贸易伙伴的唯利是图的策略表明了其外交政策的伪善。,中国的不作为和对第三世界贸易伙伴采取的逐利的策略，证明了其外交政策的虚伪。
唯,逐,中国的无所作为与其对待第三世界贸易伙伴的唯利是图的策略表明了其外交政策的伪善。,中国的不作为和对第三世界贸易伙伴采取的逐利的策略，证明了其外交政策的虚伪。
表,，证,中国的无所作为与其对待第三世界贸易伙伴的唯利是图的策略表明了其外交政策的伪善。,中国的不作为和对第三世界贸易伙伴采取的逐利的策略，证明了其外交政策的虚伪。
既然,因为,既然没有必要赶忙，我们动身就从容不迫了。,因为没必要匆忙，所以我们动身就非常从容了。
赶,匆,既然没有必要赶忙，我们动身就从容不迫了。,因为没必要匆忙，所以我们动身就非常从容了。
及,能等,结束了一天繁重的课程，抛下书包，我迫不及待地启动了我的电脑。,结束了一天繁重的课程，抛下书包，我急迫得不能等待地启动了我的电脑。
一,每,打开心灵的眼睛与你对视，一年一度的邂逅，似乎太漫长，却又那么短暂。,打开心灵的眼睛与你对视，每年的邂逅，似乎太漫长，却又那么短暂。
异乎寻,跟平,如果新的类型的实验表明，这种异乎寻常的特性是可能的，理论家将非得解释其原因。,如果新的类型的实验表明，这种跟平常的情况很不一样的特性是可能的，理论家将非得解释其原因。
不可支,到了极点,那里有最好的乐队和最好的食物，一大群人聚集在桌子旁边，所有人都兴高采烈，乐不可支。,那里有最好的乐队和最好的食物，一大群人聚集在桌子旁边，所有人都非常高兴，快乐到了极点。
竭,用,拉齐奥已经竭尽全力要将他留在罗马城，但是到现在也没有对新合同达成一致。,拉齐奥已经用尽全部的力量要将他留在罗马城，但是到现在也没有对新合同达成一致。
而非和习非成是,否真实,语言学研究指类句，就是要分析它的似是而非和习非成是，以便能更好地运用。,语言学中的一般事务研究是要分析它是否真实，以便更好地利用它。
运,利,语言学研究指类句，就是要分析它的似是而非和习非成是，以便能更好地运用。,语言学中的一般事务研究是要分析它是否真实，以便更好地利用它。
鸿篇巨,宏大的,他的鸿篇巨著《中国科学技术史》，在东西方两大文明之间架起了一座桥梁。,他的宏大的著作《中国科学技术史》，在东西方两大文明之间架起了一座桥梁。
气凛然,义,学习他以维护社会治安为己任，正气凛然的勇敢。,学习他以维护社会治安为己任，胸怀正义的勇敢。
哉游哉,闲,我完全沉浸在悠哉游哉的感觉中。,我完全沉浸在悠闲的感觉中。
轻,唱,在大海的深处美人鱼们整日轻歌曼舞，无忧无虑，可美丽的小公主海伦却时刻向往着陆地上人间的生活。,在大海的深处美人鱼们整日唱歌跳舞，没有忧虑，可美丽的小公主海伦却时刻向往着陆地上人间的生活。
曼,跳,在大海的深处美人鱼们整日轻歌曼舞，无忧无虑，可美丽的小公主海伦却时刻向往着陆地上人间的生活。,在大海的深处美人鱼们整日唱歌跳舞，没有忧虑，可美丽的小公主海伦却时刻向往着陆地上人间的生活。
无,没有,在大海的深处美人鱼们整日轻歌曼舞，无忧无虑，可美丽的小公主海伦却时刻向往着陆地上人间的生活。,在大海的深处美人鱼们整日唱歌跳舞，没有忧虑，可美丽的小公主海伦却时刻向往着陆地上人间的生活。
