src,dst
阿秋嫂子，你就听他嚼舌根，信口打哇哇，当个耳边风算什么。”,阿秋嫂子，你就听他嚼舌根，信口打哇哇，当个听后不放在心上的话算什么。”
她走出化妆间，又去推暗房的门，手摸着开关，一开，红灯亮了，聚着一点，其余都是黑，含着个心事般的，又还是万变不离其宗的那个“宗”字。,她走出化妆间，又去推暗房的门，手摸着开关，一开，红灯亮了，聚着一点，其余都是黑，含着个心事般的，又还是表面上更改样式，变化，实际上本质未改，目的依旧的那个“宗”字。
沙复明也是个老江湖了，哪里能受她的摆布。,沙复明也是个在外多年，很有阅历，处世圆滑的人了，哪里能受她的摆布。
我是老上海，你不要乱敲竹杠！’,我是老上海，你不要胡乱敲诈！’
程子卿的态度也从容些了，更低声地说：“二老板恨得你要死，这人是杀人不见血的。,程子卿的态度也从容些了，更低声地说：“二老板恨得你要死，这人是害人的手段非常阴险毒辣的。
这不是说背后就可以放冷箭说人家坏话。,这不是说背后就可以暗中害人说人家坏话。
贝尔纳斯自题这样一个书名，想来是表示他在做国务卿办外交的时候有许多话不便“老实说”，现在是自由了，无官一身轻了，不妨“老实说”了——原名直译该是《老实说》，还不是《老实话》。,贝尔纳斯自题这样一个书名，想来是表示他在做国务卿办外交的时候有许多话不便“老实说”，现在是自由了，不做官了，感到一身轻松了，不妨“老实说”了——原名直译该是《老实说》，还不是《老实话》。
俗语道，“一问三不知”，就指的这种世故人。,俗语道，“实际情况一点也不知道”，就指的这种世故人。
况西堂（快刀斩乱麻，不等他再谈下去，就——）咱们不谈，不谈。,况西堂（做事果断，不拖拉，很快就将事情处理好了，不等他再谈下去，就——）咱们不谈，不谈。
自然也是有志者事竟成呵，当他们游莫干山时，娴娴已经出落得又活泼又大方，知道了如何在人前对丈夫表示细腻的昵爱了。,自然也是有志向的人，做事终究会成功呵，当他们游莫干山时，娴娴已经出落得又活泼又大方，知道了如何在人前对丈夫表示细腻的昵爱了。
“我们到二姊面前撺怂着竹斋放胆做公债，你要说雷参谋是吃了败仗受伤，活活地捉到天津――嗳，你要说得像些，留心露马脚！”,“我们到二姊面前撺怂着竹斋放胆做公债，你要说雷参谋是吃了败仗受伤，活活地捉到天津――嗳，你要说得像些，留心显出破绽、暴露真相！”
成功之后遭人冷语，正好给你泼冷水，不致使胜利冲昏你的头脑。,成功之后遭人冷语，正好给你打击，不致使胜利冲昏你的头脑。
武库中，十八般武艺用的家伙似乎都全了！,武库中，各种武艺用的家伙似乎都全了！
假若，她想，方法想得不好，而自己“赔了夫人又折兵”那才丢透了脸！,假若，她想，方法想得不好，而自己“想占便宜，反而受到双重损失”那才丢透了脸！
我们有自古流传的两句话：一是“衣食足则知荣辱”，见于《管子·牧民》篇，一是“民以食为天”，是汉朝郦食其说的。,我们有自古流传的两句话：一是“衣食足则知荣辱”，见于《管子·牧民》篇，一是“人民以粮食为自己生活所系”，是汉朝郦食其说的。
能体会到人家电影导演在如此荒凉破旧的地方，都能化腐朽为神奇，搞出轰动世界,能体会到人家电影导演在如此荒凉破旧的地方，都能变坏为好，搞出轰动世界
但啥事经不住时候长，三个月下来，天天白刀子进红刀子出，习惯成自然，心就硬了。,但啥事经不住时候长，三个月下来，天天白刀子进红刀子出，习惯就能接受了，心就硬了。
“大老板，无事不登三宝殿，我是有点小事特意来这里的。,“大老板，没事不上门，我是有点小事特意来这里的。
我呢，吃力不讨好，出钱出力出时间，落得是一场不愉快，这真叫伤感情。,我呢，事情棘手难办，出钱出力出时间，落得是一场不愉快，这真叫伤感情。
我向痰盂怅望，嗟叹了两声，似有“一失足成千古恨”之感。,我向痰盂怅望，嗟叹了两声，似有“一旦堕落或犯了严重错误，就成为终身的恨事”之感。
婉卿，你不要顾左右而言他，且说我这水字改得好不好？”,婉卿，你不要转移话题，且说我这水字改得好不好？”
铁的栅栏变成了轻飘飘的藤萝，在猴子们的搀扶下，你蹦上了高山又跳下深涧，还依样画葫芦，手扯藤萝荡秋千。,铁的栅栏变成了轻飘飘的藤萝，在猴子们的搀扶下，你蹦上了高山又跳下深涧，还模仿，手扯藤萝荡秋千。
天星俨然是妹妹的守护神，他不希望任何人来打扰妹妹，对陈淑彦下了逐客令，你瞅瞅她就得了，走吧！,天星俨然是妹妹的守护神，他不希望任何人来打扰妹妹，赶走了陈淑彦，你瞅瞅她就得了，走吧！
现在兰亭的“流觞曲水”也和这儿的一鼻孔出气，不过规模大些。,现在兰亭的“流觞曲水”也和这儿的一样，不过规模大些。
他们两弟兄应当留在家里担任戏台上跑龙套的角色。,他们两弟兄应当留在家里担任戏台上配角的角色。
拱墓时选了许多地方，都不理想，爹提出就在七里沟的坡根，说：“让我埋在那里好，我一生过五关斩六将，就是在七里沟走了麦城，我死了再守着那条沟。”,拱墓时选了许多地方，都不理想，爹提出就在七里沟的坡根，说：“让我埋在那里好，我一生经历很多，就是在七里沟走了麦城，我死了再守着那条沟。”
他若有所悟地念道：春蚕到死丝方尽，蜡炬成灰泪始干。,他若有所悟地念道：情深谊长，到死也不会改变，蜡炬成灰泪始干。
有人说女人其“趣”在于美，但美也似乎无标准，情人眼里出西施，有的喜欢瘦的，有的却喜欢胖的，有的说女人之“趣”在眼睛，有的说头发，也有的说是内在美，总之不一而定，随个所好。,有人说女人其“趣”在于美，但美也似乎无标准，由于有感情，觉得对方无一处不美，有的喜欢瘦的，有的却喜欢胖的，有的说女人之“趣”在眼睛，有的说头发，也有的说是内在美，总之不一而定，随个所好。
柳原伴着他们上楼，一路上大家仿佛他乡遇故知似的，不断的表示惊讶与愉快。,柳原伴着他们上楼，一路上大家仿佛他乡遇故人似的，不断的表示惊讶与愉快。
不能那样温良恭俭让……”但台上那两个戴塑料眼镜的学生没理他，继续边翻书边讲。,不能那样温温和、善良、恭敬、节俭、忍让这五种美德……”但台上那两个戴塑料眼镜的学生没理他，继续边翻书边讲。
可是，如前面引过的，“知人知面不知心”，不看什么人就掏出自己的心肝来，人家也许还嫌血腥气呢！,可是，如前面引过的，“认识一个人容易，但要了解一个人的内心却很困难”，不看什么人就掏出自己的心肝来，人家也许还嫌血腥气呢！
最可怕的就是这满脸：所谓“施施然拒人于千里之外”者，便是这种脸了。,最可怕的就是这满脸：所谓“施施然拒绝别人的亲近”者，便是这种脸了。
你要知道，自从九一八以后，东洋人的势力也并不集中，谁都想建功争胜，强中自有强中手。,你要知道，自从九一八以后，东洋人的势力也并不集中，谁都想建功争胜，技艺无止境，不能自满自大。
有的说，这山望着那山高，咱们这些苦人干什么也发不了财，先忍着吧！,有的说，爬上这一座山，觉得那一座山更高，咱们这些苦人干什么也发不了财，先忍着吧！
“小鬼，你少流一点猫儿尿好了，不要当到我假慈悲。”,“小鬼，你少流一点猫儿尿好了，不要当到我假装慈悲。”
李石清哼，人逢喜事精神爽，也许现在——立刻我要有一件最开心的事。,李石清哼，人遇到喜庆之事则心情舒畅，也许现在——立刻我要有一件最开心的事。
乡下人问题就只是缴钱了事，收据有无本不重要，因此敲边鼓凑和说：“那不要紧，改天送来也成。,乡下人问题就只是缴钱了事，收据有无本不重要，因此从旁帮腔凑和说：“那不要紧，改天送来也成。
可左右打量，这种情况，并不是一处两处；这种局面，也不是一天两天形成的，一个人两个人形成的；天下不是一个坏人，天下乌鸦一般黑；而为了一般黑去抓乌鸦，或者为了这帮乌鸦去抓另一帮乌鸦，老邢怀疑自己工作的意义。,可左右打量，这种情况，并不是一处两处；这种局面，也不是一天两天形成的，一个人两个人形成的；天下不是一个坏人，任何地方的坏人都是同样的坏；而为了一般黑去抓乌鸦，或者为了这帮乌鸦去抓另一帮乌鸦，老邢怀疑自己工作的意义。
自然羊毛出在羊身上，什么都有买客来负担去，但是销路可就减少了。,自然表面上用于某人或某些人的钱物，最终还是取自某人或某些人自身，什么都有买客来负担去，但是销路可就减少了。
对了，除非你取消价值不论价值，人才都是一样的，世界才是和平的，才是‘四海之内皆兄弟’，才能重归伊甸园。,对了，除非你取消价值不论价值，人才都是一样的，世界才是和平的，才是‘世界各国的人民都象兄弟一样’，才能重归伊甸园。
打吊瓶，这实在是一件可望而不可及的事情，不知道是怎样的福，红旗没享过。,打吊瓶，这实在是一件只可仰望而不可接近的事情，不知道是怎样的福，红旗没享过。
文博士以为事都好办，只是委员们缺少办事的能力，与不懂得美国的方法，所以把他的话作为耳旁风。,文博士以为事都好办，只是委员们缺少办事的能力，与不懂得美国的方法，所以把他的话作为空气。
其实都是瞎吵一气，牛头不对马嘴的，越吵越糊涂。,其实都是瞎吵一气，对不上号的，越吵越糊涂。
这时，王琦瑶便暗自打量，猜那人的家庭和职业，再用些闲话去套，套出的几句实情，竟也能八九不离十。,这时，王琦瑶便暗自打量，猜那人的家庭和职业，再用些闲话去套，套出的几句实情，竟也能差不多。
我大为兴奋，头一次听说沙哈拉威人也洗澡，岂不要打破沙锅问到底。,我大为兴奋，头一次听说沙哈拉威人也洗澡，岂不要追究事情的根底。
孟老夫子认为物以稀为贵，并不仅仅因为毛孩是返祖现象政府才给予高度重视。,孟老夫子认为事物因稀少而且有益，从而显得珍贵，并不仅仅因为毛孩是返祖现象政府才给予高度重视。
虽然理智告诉她，事实上是二者不可得兼，可是感情上她终不肯牺牲了后面的那一桩。,虽然理智告诉她，事实上是只能得到一个，可是感情上她终不肯牺牲了后面的那一桩。
他知道小陈聪明，但是不愿意教他贪多嚼不烂。,他知道小陈聪明，但是不愿意教他图多而做不好。
最后说个其五，由我的本业语文方面看，她下笔，走的是平实浅易一路，与一股时风，或有些人，可浅出偏偏深出，可直说偏偏曲说，可拉家常偏偏掉书袋，不同。,最后说个其五，由我的本业语文方面看，她下笔，走的是平实浅易一路，与一股时风，或有些人，可浅出偏偏深出，可直说偏偏曲说，可拉家常偏偏引用古书词句，卖弄才学，不同。
古语说得好，“来而不往非礼也”，无论古今，人情总是一样的。,古语说得好，“对别人给予自己的善意，应当做出友好的反应，否则是不合乎礼节的”，无论古今，人情总是一样的。
曾皓（摇首）“知子莫若父”，他没有志气，早晚他还是会——（似乎不愿再,曾皓（摇首）“没有比父亲更了解儿子的了”，他没有志气，早晚他还是会——（似乎不愿再
没救并不是老邢不想救，而是为了放长线钓大鱼。,没救并不是老邢不想救，而是为了从长远打算。
没救并不是老邢不想救，而是为了放长线钓大鱼。,没救并不是老邢不想救，而是为了从长远打算。
杜秋妹、车把式、拖拉机手、腊梅嫂这几个不打不相识的朋友聚在一起，冷静地分析了情况，大家一致认为：走是不现实的，因为路上的车一辆接一辆，要想掉转车头抢在雷雨之前赶回家，简直比登天还难。,杜秋妹、车把式、拖拉机手、腊梅嫂这几个经过交手才相互了解的朋友聚在一起，冷静地分析了情况，大家一致认为：走是不现实的，因为路上的车一辆接一辆，要想掉转车头抢在雷雨之前赶回家，简直比登天还难。
事实胜于雄辩，现在主公就在眼前，粮食就在眼前，主公却不吃。,事实比狡辩更有说服力，现在主公就在眼前，粮食就在眼前，主公却不吃。
胡四（应声虫，一嘴的谎）是，是啊，导演说今天我不来，片子就不能拍了。,胡四（寄生虫，一嘴的谎）是，是啊，导演说今天我不来，片子就不能拍了
他还用高小里学过的成语补充说：“天有不测风云，人有旦夕祸福……”,他还用高小里学过的成语补充说：灾祸的发生，事先是无法预料的。
所以傳教士成了縣官的眼中釘，肉中刺。,所以傳教士成了縣官针对的人。
他想着那情景，不由得嘿嘿地笑起来，下结论说：“真是隔行如隔山。”,他想着那情景，不由得嘿嘿地笑起来，下结论说：“真是各行职业专业不同。”
没有人会相信春来能出落成今天的这副模样，什么叫女大十八变?,没有人会相信春来能出落成今天的这副模样，什么叫女孩长大了变化很大?
生命在迅雷不及掩耳的一瞬中结束了，他倒在那残破的宝船上，滚热的鲜血把琢玉人和碎玉连成一体！,生命在极快的一瞬中结束了，他倒在那残破的宝船上，滚热的鲜血把琢玉人和碎玉连成一体！
郡遣督邮至，县吏说他应该束带见督邮，陶渊明叹曰：“吾不能为五斗米折腰。”,郡遣督邮至，县吏说他应该束带见督邮，陶渊明叹曰：“吾不能向物质屈服。”
滑天下之大稽，那时我一个人开始闷笑起来，以后他说什么，我完全没有听见。,太好笑了，那时我一个人开始闷笑起来，以后他说什么，我完全没有听见。
小蛤蟆揿着电喇叭，到处宣传：不要怕，不要怕，真金不怕火炼，是铁不怕炼钢，你是只铁锅，炼出来就是钢锅；你是只铁钉，炼出来就是只钢钉；你是只铁铲子，炼出来就是钢铲子；你是只铁簪子，炼出来就是只钢簪子。,小蛤蟆揿着电喇叭，到处宣传：不要怕，不要怕，品质好的人经得住任何考验，你是只铁锅，炼出来就是钢锅；你是只铁钉，炼出来就是只钢钉；你是只铁铲子，炼出来就是钢铲子；你是只铁簪子，炼出来就是只钢簪子。
“胜败乃兵家常事，大姐莫自馁，同六姐摆一盘吧。”,“胜败是经常发生的，大姐莫自馁，同六姐摆一盘吧。”
“水至清则无鱼”，净和垢历来并存，只是比例变动而已。,“水清鱼儿就没法生存”，净和垢历来并存，只是比例变动而已。
像是还不能，因为一，季先生和悔恨者都是受害者，语云，一个巴掌拍不响，就还要有加害者。,像是还不能，因为一，季先生和悔恨者都是受害者，语云，都有责任，就还要有加害者。
结果可以想见，是群起而攻之以后，被撤职，逐出北大。,结果可以想见，是大家一起反对以后，被撤职，逐出北大。
当静女士给两人介绍过以后，抱素忙把这两天内有不少同学因为在马路上演讲废除不平等条约而被捕的消息，用极动听的口吻，报告了两位女士，末了还附着批评道：“这些运动，我们是反对的；空口说白话，有什么意思，徒然使西牢里多几个犯人！,当静女士给两人介绍过以后，抱素忙把这两天内有不少同学因为在马路上演讲废除不平等条约而被捕的消息，用极动听的口吻，报告了两位女士，末了还附着批评道：“这些运动，我们是反对的；光说不做，有什么意思，徒然使西牢里多几个犯人！
她们一般是利用反其道而行之的原理，推算时尚的进程。,她们一般是利用采取相反办法的原理，推算时尚的进程。
罗兰，你也是做着损人不利己的事，你也何苦来呢？”,罗兰，你也是做着伤害别人又对自己没好处的事，你也何苦来呢？”
木蘭又說：「不然叫小夫或是肖夫，取其有其父必有其子之意。,木蘭又說：「不然叫小夫或是肖夫，取其有父必有子之意。
定住的猫在他的“咒语”中活动开来，猫嘴里发出人的叫声，猫腿高抬慢落，徘徊行走，八匹猫好像八个足登厚底朝靴在舞台上走过场的奸臣。,定住的猫在他的“咒语”中活动开来，猫嘴里发出人的叫声，猫腿高抬慢落，徘徊行走，八匹猫好像八个足登厚底朝靴在舞台上路过的奸臣。
他一没参与公司的事，二没受过雷大空的贿，这明明是巩家人为了逃避自己，要拿金狗当替罪羊啊！”,他一没参与公司的事，二没受过雷大空的贿，这明明是巩家人为了逃避自己，要拿金狗当替罪的啊！”
生活的环境不大协调，似乎是个“出污泥而不染”的人物。,生活的环境不大协调，似乎是个身处污浊之地不被感染的人物。
