idiom,explanation,original_sentence,original_paraphrase
浩浩荡荡,一片空旷,薇龙拉开了珍珠罗帘幕，倚着窗台望出去，外面是窄窄的阳台，铁栏杆外浩浩荡荡都是雾，一片□□乳白，很有从甲板上望海的情致。,薇龙拉开了珍珠罗帘幕，倚着窗台望出去，外面是窄窄的阳台，铁栏杆外一片空旷都是雾，一片□□乳白，很有从甲板上望海的情致。
鬼鬼祟祟,偷偷,后来又鬼鬼祟祟地跳出来一只火红的狐狸。,后来又偷偷地跳出来一只火红的狐狸。
久而久之,时间长了,我在办这些事儿的时候，得到许多经验，明白了许多人情，久而久之，我成了个很精明的人，虽然还不到三十岁-,我在办这些事儿的时候，得到许多经验，明白了许多人情，时间长了，我成了个很精明的人，虽然还不到三十岁-
成千上万,无数,"他进一步设想，那成千上万的观看宝船的人，一定也有穆斯林，如果他们知道这宝船出自中国的穆斯林之手，一定为""朵斯提""感到无上的光彩！","他进一步设想，那无数的观看宝船的人，一定也有穆斯林，如果他们知道这宝船出自中国的穆斯林之手，一定为""朵斯提""感到无上的光彩！"
青红皂白,对错,谁还管青红皂白，先揍完再说，反正打媳妇是理所当然的事。,谁还管对错，先揍完再说，反正打媳妇是应当的。
不慌不忙,冷静,“柴进不会吃酒，”瑞珏不慌不忙地接口说。,“柴进不会吃酒，”瑞珏冷静地接口说。
轰轰烈烈,响亮,你在轰轰烈烈的音乐声中，听着她清楚地报数：“一、二、三、四、五、六、七、八、九、十、十一、十二，”这时候她稍微停顿了一下，你看到那十二个已经报出的数字，像十二个清晰的脚印，印在金黄的沙地上，“十三！”,你在响亮的音乐声中，听着她清楚地报数：“一、二、三、四、五、六、七、八、九、十、十一、十二，”这时候她稍微停顿了一下，你看到那十二个已经报出的数字，像十二个清晰的脚印，印在金黄的沙地上，“十三！”
可如何的,奈地,看了看自己的手，那么白软的一对手，他无可如何的笑了笑。,看了看自己的手，那么白软的一对手，他无奈地笑了笑。
混世魔王,捣蛋鬼,对混世魔王来说，他最需要的是从模子里走一遭，从烈火中滚一遭。,对捣蛋鬼来说，他最需要的是从模子里走一遭，从烈火中滚一遭。
迫不及待,着急,同时，读者为了想知道荷西最后是否拿得到汉斯欠他的那几千块美金的薪水，也就迫不及待地追看下去了。,同时，读者为了想知道荷西最后是否拿得到汉斯欠他的那几千块美金的薪水，也就着急地追看下去了。
大街小巷,各个地方,他们撑着雨伞，一路说说笑笑，通过一段早年间用横石片插起的长长的下坡路，不多时便纷纷消失在城市的大街小巷中。,他们撑着雨伞，一路说说笑笑，通过一段早年间用横石片插起的长长的下坡路，不多时便纷纷消失在城市的各个地方中。
恶作剧的,捣蛋地,他们将我围住，恶作剧的戏笑起来，旁边两个他们一伙的女孩子，又是泥泞的鞋子就伸过来在我清洁的座位上一搁。,他们将我围住，捣蛋地戏笑起来，旁边两个他们一伙的女孩子，又是泥泞的鞋子就伸过来在我清洁的座位上一搁。
花花绿绿,颜色繁多,棕色的泥渚突然间变了颜色，花花绿绿的鸭羽上闪烁着无数个变色的太阳，鸭群载着阳光，穿梭般蹒跚着。,棕色的泥渚突然间变了颜色，颜色繁多的鸭羽上闪烁着无数个变色的太阳，鸭群载着阳光，穿梭般蹒跚着。
与众不同,很突出,因为教主的来历到底与众不同，三十年代，他是上海明星公司的红星——这都是黑美郎打听出来的，黑美郎专喜欢往那些老导演的家里钻，拜他们的太太做干娘。,因为教主的来历到底很突出，三十年代，他是上海明星公司的红星——这都是黑美郎打听出来的，黑美郎专喜欢往那些老导演的家里钻，拜他们的太太做干娘。
不动声色,肃静,一座座不动声色的山门，把人引向深深的远方，引向一片绿洲或一片石滩，似乎有一个人曾经在那里久久等待的地方。,一座座肃静的山门，把人引向深深的远方，引向一片绿洲或一片石滩，似乎有一个人曾经在那里久久等待的地方。
不声不响,毫无动静地,“元首”是不声不响掏连里的厕所；“老肥”是清早一起来就抢扫帚把，有一天夜里还做好事，一人站了一夜岗，自己不休息，让同志们休息。,“元首”是毫无动静地掏连里的厕所；“老肥”是清早一起来就抢扫帚把，有一天夜里还做好事，一人站了一夜岗，自己不休息，让同志们休息。
一五一十,毫无保留地,牛爱国将自己和庞丽娜的事，一五一十说了出来，是杀人，是离婚，让杜青海帮他拿主意。,牛爱国将自己和庞丽娜的事，毫无保留地说了出来，是杀人，是离婚，让杜青海帮他拿主意。
若无其事,什么也没发生,他看见国光，自然先说几句普通的应酬话，装出若无其事的样子。,他看见国光，自然先说几句普通的应酬话，装出什么也没发生的样子。
五颜六色,各种花样,总也感染到了离愁，班上有小朋友开始买了五颜六色的纪念册，在班上传来传去。,总也感染到了离愁，班上有小朋友开始买了各种花样的纪念册，在班上传来传去。
没完没了,一直,不难想象，这一类真实的故事可以没完没了地讲下去，而一切走西口、闯全国的山西商人，心头都埋藏着无数这样的故事。,不难想象，这一类真实的故事可以一直地讲下去，而一切走西口、闯全国的山西商人，心头都埋藏着无数这样的故事。
不明不白,奇怪,她终于在一场不明不白的关系争斗中，被归属于败落的一派，从高空中跌落下来。,她终于在一场奇怪的关系争斗中，被归属于败落的一派，从高空中跌落下来。
无缘无故,奇怪,这种关系只能用具体的事实来说明，而具体的事实就在他的心上与眼前——北平属了日本人，他的至亲好友就会死亡；他们的死亡不仅损失了他的金钱，而且使他看到更大的危险，大家都可以无缘无故死去的危险。,这种关系只能用具体的事实来说明，而具体的事实就在他的心上与眼前——北平属了日本人，他的亲戚和好友就会死亡；他们的死亡不仅损失了他的金钱，而且使他看到更大的危险，大家都可以奇怪死去的危险。
吞吞吐吐,有顾虑,“钱什么哩……”向前吞吞吐吐地说。,钱什么哩……”向前有顾虑地说。
三天两头,经常,我刚到昆明的头二年，一九三九、一九四○年，三天两头有警报。,我刚到昆明的头二年，一九三九、一九四○年，经常有警报。
五光十色,绚烂,黄昏尽了，豪华的黑夜漫住五光十色的世界。,黄昏尽了，豪华的黑夜漫住绚烂的世界。
踉踉跄跄,跌跌撞撞地,他终于站起身，推说去厕所，踉踉跄跄穿过宴会厅，向电梯厅走去。,他终于站起身，推说去厕所，跌跌撞撞地穿过宴会厅，向电梯厅走去。
心不在焉,走神,（孔望见况与龚都去签到，早已心不在焉）,（孔望见况与龚都去签到，早已走神）
熙熙攘攘,热闹,上海的古迹没有多少好看的，到上海旅行，领受最深的便是熙熙攘攘的上海人。,上海的古迹没有多少好看的，到上海旅行，领受最深的便是热闹的上海人。
可想而知,一眼就能看出来,夫妇算是熟透了的，有时还得“相敬如宾”，别人可想而知。,妇算是熟透了的，有时还得“互敬”，别人一眼就能看出来。
牛鬼蛇神,坏人,于是，以驴县长陈光第为首的牛鬼蛇神们，就从公社大院里欢天喜地地冲出,于是，以驴县长陈光第为首的坏人们，就从公社大院里欢喜地冲出
不亦乐乎,十分开心,又等数小时，而电话不再来，不亦乐乎！,又等数小时，而电话不再来，十分开心！
男女老少,人,一家人成年累月弹棉，全家男女老少，头发眉毛里，皆钻些棉毛或棉屑。,一家人年年弹棉，全家人，头发眉毛里，皆钻些棉毛或棉屑。
莫明其妙,感到很奇怪,竹子嘎嘎嘎地笑，笑得所有人先都莫明其妙，后就觉得有些难为情起来，村长便又说：啊，喝酒，喝酒，没啥能感激你们，我把我喝醉来表达个心情！,竹子嘎嘎嘎地笑，笑得所有人先都感到很奇怪，后就觉得有些难为情起来，村长便又说：啊，喝酒，喝酒，没啥能感激你们，我把我喝醉来表达个心情！
七嘴八舌,场面混乱,也很兴奋，七嘴八舌的，顾不上管我们。,也很兴奋，场面混乱的，顾不上管我们。
鬼鬼祟祟,不敢公开,并没有什么了不起，但死的时候不用像那些姑娘那样隐姓埋名，葬的时候不用像那些军人那样偷偷摸摸、鬼鬼祟祟。,并没有什么了不起，但死的时候不用像那些姑娘那样隐藏姓名，葬的时候不用像那些军人那样偷偷的、不敢公开。
古今中外,广泛,为了写好剧本，我们要提倡好好钻研一下古今中外的丰富的文化遗产，从里,为了写好剧本，我们要提倡好好钻研一下广泛的丰富的文化遗产，从里
似曾相识,很熟悉,下午三点的阳光都是似曾相识，说不出个过去，现在，和将来，一万年都是如此，别说几十年的人生了。,下午三点的阳光都是很熟悉，说不出个过去，现在，和将来，一万年都是如此，别说几十年的人生了。
居高临下,屈身,他应该很智慧，有能力在生命的绝壁上居高临下地来俯视众生；,他应该很智慧，有能力在生命的绝壁上屈身地来俯视众生；
一丝不挂,毫无保留,你想那颗一丝不挂欲又爱着一切的童心，眼见得在那隐约的朝雾里，凭你怎样招着你的手儿，总是不回到腔子里来；这是多么“缺”呢？,你想那颗毫无保留欲又爱着一切的童心，眼见得在那隐约的朝雾里，凭你怎样招着你的手儿，总是不回到腔子里来；这是多么“缺”呢？
战战兢兢,小心,他战战兢兢地看着瓦房前的院子，他要不是爬上白杨树，是永远也看不到这个院子的，尽管树下这个眼睛乌黑的小女孩经常找他玩，但爹娘却反复叮咛他，不准去小珍家玩。,他小心地看着瓦房前的院子，他要不是爬上白杨树，是永远也看不到这个院子的，尽管树下这个眼睛乌黑的小女孩经常找他玩，但爹娘却反复叮咛他，不准去小珍家玩。
横七竖八,随意,有那么一个晚上，宿舍的女孩子偷了望弥撒的甜酒，统统挤到我的床上来横七竖八地坐着、躺着、吊着，每个人传着酒喝。,有那么一个晚上，宿舍的女孩子偷了望弥撒的甜酒，统统挤到我的床上来随意地坐着、躺着、吊着，每个人传着酒喝。
一本正经,认真,一个老者环顾左右后，一本正经地说：“你看，人定不能胜天。,一个老者环顾左右后，认真地说：“你看，人定不能胜天。
三三两两,陆续,官兵们跑过去追了一会儿，然后就三三两两地走回来。,官兵们跑过去追了一会儿，然后就陆续地走回来。
日日夜夜,反复地,玉碑脚下，是江涛的呼啸声，年年月月，日日夜夜，哪里还听得见别的呼啸声和应和声。,玉碑脚下，是江涛的呼啸声，年年月月，反复地，哪里还听得见别的呼啸声和应和声。
鸦雀无声,寂静,空气凝重，气压越降越低，一种大难临头的恐怖使岛上的生物都像死去了一般鸦雀无声。,空气凝重，气压越降越低，一种大祸到来的恐怖使岛上的生物都像死去了一般寂静。
柴米油盐,做饭的材料,不上馆子自己弄饭呢，柴米油盐都无处去买。,不上馆子自己弄饭呢，做饭的材料都无处去买。
交头接耳,说悄悄话,院门口开始有人往里进，进来了就交头接耳，院子里蜂飞来飞去嗡嗡，嘁嘁啾啾人声嘈杂。,院门口开始有人往里进，进来了就说悄悄话，院子里蜂飞来飞去嗡嗡，嘁嘁啾啾人声嘈杂。
惴惴不安,担,在众人惴惴不安、心惊肉跳的时候，却有两个人无忧无虑，照旧干自己的营生。,在众人担心忧虑的时候，却有两个人毫无忧虑，照旧干自己的营生。
随心所欲,任意,只要运用一丁点儿想象力，地球上的每一个国家，都可以让你随心所欲地转换成一个有趣的“物体”。,只要运用一丁点儿想象力，地球上的每一个国家，都可以让你任意地转换成一个有趣的“物体”。
按捺不住,无法压抑,啊，每次走向这个院落，他都有一种按捺不住的激动。,啊，每次走向这个院落，他都有一种无法压抑的激动。
大摇大摆,随意,鸽子们大摇大摆地在院子里走着。,鸽子们随意地在院子里走着。
不由分说,直接,克安那张黄黑色的瘦脸突然变得更黑了，他蛮横地骂起来，不由分说伸起一只手就往觉民的脸颊上打去。,克安那张黄黑色的瘦脸突然变得更黑了，他蛮横地骂起来，直接伸起一只手就往觉民的脸颊上打去。
胆战心惊,害怕,真的疼了，便发出那撕心裂肺的叫喊，那叫喊是这样刺人耳膜，令人胆战心惊。,真的疼了，便发出那撕心裂肺的叫喊，那叫喊是这样刺人耳膜，令人害怕。
一塌糊涂,很糟糕,除了‘米脂女的新陪嫁’这一期做得还可以，可以也就是笨拙一些，没有耍小聪明，其他都一塌糊涂。,除了‘米脂女的新陪嫁’这一期做得还可以，可以也就是笨拙一些，没有耍小聪明，其他都很糟糕。
描淡写的,飘飘地,有些陪葬的古玉被石教授摸过，他也是轻描淡写的说∶“不要再挂了。”,有些陪葬的古玉被石教授摸过，他也是轻飘飘地说∶“不要再挂了。”
万不得已,没有办法,——实在万不得已，最好是用零买法为佳：譬如秤肉一斤，则分为四处，每处四两。,——实在没有办法，最好是用零买法为佳：譬如秤肉一斤，则分为四处，每处四两。
自告奋勇,主动,七爷静极思动，自以为很有把握，自告奋勇来天津办理这件事。,七爷想活动，自以为很有把握，主动来天津办理这件事。
有声有色,成功,这会战开始没多少天，他就把工作搞得如此有声有色。,这会战开始没多少天，他就把工作搞得如此成功。
蹑手蹑脚,静悄悄,父亲蹑手蹑脚地走上前，离哑巴一步远停住。,父亲静悄悄地走上前，离哑巴一步远停住。
影影绰绰,闪烁,他躺在自己那间小屋里，看到和尚收伞，光头影影绰绰地亮。,他躺在自己那间小屋里，看到和尚收伞，光头闪烁地亮。
一无所有,什么也不知道,还不像知青，因为一无所有，甘于一味消沉和颓唐。,还不像知青，因为什么也不知道，甘于一味消沉和颓唐。
形形色色,各种,其中包括地方政府的征税，全国性的实物土地税（通过省政府征收）以及形形色色、无法估计的军事方面的需求。,其中包括地方政府的征税，全国性的实物土地税（通过省政府征收）以及各种无法估计的军事方面的需求。
龇牙咧嘴,胡乱动,猫的头破了一个洞，往下流血，仍龇牙咧嘴，四个爪子乱抓。,猫的头破了一个洞，往下流血，仍胡乱动，四个爪子乱抓。
心安理得,无所谓,因为自觉并非被动，这位骄狷的小姐虽然不愿人家知道此事，而主观上倒也心安理得。,因为自觉并非被动，这位骄狷的小姐虽然不愿人家知道此事，而主观上倒也无所谓。
引人注目,轰动,像茅盾这样全面评价冰心作品的文章，当时还不多，因此，茅盾这篇《冰心论》成为当时文坛引人注目的一篇文章。,像茅盾这样全面评价冰心作品的文章，当时还不多，因此，茅盾这篇《冰心论》成为当时文坛轰动的一篇文章。
十之八九,几乎,于是，茅盾又去重访故旧，有目的地进一步搜集素材，在这些同乡故旧中，茅盾了解到1930年中国民族工业的缩影——丝厂的情状，上海倒闭30家，无锡、广东、苏州、镇江、杭州、嘉兴、湖州等各丝厂十之八九都倒闭，同时，茅盾也了解到，由于国际竞争而使中国火柴厂大面积破产，因而坚定了茅盾原是以内销为主的火柴厂作为中国民族工业受日本、瑞典的同行竞争而在国内不能立足的计划。,于是，茅盾又去重访故旧，有目的地进一步搜集素材，在这些同乡故旧中，茅盾了解到1930年中国民族工业的缩影——丝厂的情状，上海倒闭30家，无锡、广东、苏州、镇江、杭州、嘉兴、湖州等各丝厂几乎都倒闭，同时，茅盾也了解到，由于国际竞争而使中国火柴厂大面积破产，因而坚定了茅盾原是以内销为主的火柴厂作为中国民族工业受日本、瑞典的同行竞争而在国内不能立足的计划。
气急败坏,愤怒,周贵气急败坏地向周老太太报告道：“老太太，老爷请老太太同太太就回去，孙少爷吐血了，吐得很凶。”,周贵愤怒地向周老太太报告道：“老太太，老爷请老太太同太太就回去，孙少爷吐血了，吐得很凶。”
无能为力,没有挽救的办法,作为一个精明人，他知道事态将会怎样发展；作为一个当哥的，他又对这事态的发展无能为力。,作为一个精明人，他知道事态将会怎样发展；作为一个当哥的，他又对这事态的发展没有挽救的办法。
东西南北,四面的,但因为时代近，变化的迹象易寻，城基，东西南北门，中年以上的人还能指出来。,但因为时代近，变化的迹象易寻，城基，四面的门，中年以上的人还能指出来。
支支吾吾,吞吐着,面对着种种追问，我没了伶齿俐嘴，没了幽默，舌头发僵，支支吾吾，似乎五富就是我害死的。,面对着种种追问，我没了伶齿俐嘴，没了幽默，舌头发僵，吞吐着，似乎五富就是我害死的。
有血有肉,生动,这出戏不仅写了近四十个有血有肉的人物，而且有二十几名是双方实有,这出戏不仅写了近四十个生动的人物，而且有二十几名是双方实有
家破人亡,倒,富贵啊，你一死，就家破人亡了啊！”,富贵啊，你一死，这个家就倒了啊！”
来龙去脉,过程,有没有资料价值不知道，但是买我书的读者有权利知道一点事情的来龙去脉，我也有责任向他们作一个交代。,有没有资料价值不知道，但是买我书的读者有权利知道一点事情的过程，我也有责任向他们作一个交代。
毛骨悚然,害怕,伸到两耳的大嘴，龇出雪白的牙齿，发出令人毛骨悚然的狞笑，对着柳勇扑来。,伸到两耳的大嘴，龇出雪白的牙齿，发出令人害怕的狞笑，对着柳勇扑来。
一丝不苟,很认真,她们脸上的脂粉总会显得均匀而恰到好处，眼影、唇线的描绘不仅是在夜晚的盛会，就是在烈日下也会一丝不苟甚至浓重得赫然醒目。,她们脸上的脂粉总会显得均匀而正好，眼影、唇线的描绘不仅是在夜晚的盛会，就是在烈日下也会很认真甚至浓重得令人印象深刻。
赫然醒目,令人印象深刻,她们脸上的脂粉总会显得均匀而恰到好处，眼影、唇线的描绘不仅是在夜晚的盛会，就是在烈日下也会一丝不苟甚至浓重得赫然醒目。,她们脸上的脂粉总会显得均匀而正好，眼影、唇线的描绘不仅是在夜晚的盛会，就是在烈日下也会很认真甚至浓重得令人印象深刻。
花枝招展,很妖娆,过两天儿，毛毛虫太太又打扮得花枝招展的出来卖呆儿①，或是夹着小红皮包上街去，我们知道毛毛虫自己已把事儿办好，大家心里就很平安，而稍微的嫌时间走得太慢些，老不马上又是月底。,过两天儿，毛毛虫太太又打扮得很妖娆的出来卖呆儿①，或是夹着小红皮包上街去，我们知道毛毛虫自己已把事儿办好，大家心里就很平安，而稍微的嫌时间走得太慢些，老不马上又是月底。
千山万水,不顾艰辛,离开我的第二祖国不过几个月，乍听乡音恍如隔世，千山万水的奔回来，却已是无家可归。,离开我的第二祖国不过几个月，乍听乡音好像隔代，不顾艰辛的奔回来，却已是没有家回去。
血肉模糊,伤势严重,“他们自己人打了起来，杀掉了，唉，血肉模糊哦，脸都不像了。”,“他们自己人打了起来，杀掉了，唉，伤势严重哦，脸都不像了。”
目不转睛,专心,窗外站一个短衣褴褛的老头子，目不转睛地看窗里的的东西，臂上挽个篮，盛着粗拙的泥娃娃，和蜡纸粘的风转。,窗外站一个短衣褴褛的老头子，专心地看窗里的的东西，臂上挽个篮，盛着粗拙的泥娃娃，和蜡纸粘的风转。
肆无忌惮,胆大,在他头顶悬挂的玉米上，有几只老鼠在那儿肆无忌惮地啃食。,在他头顶悬挂的玉米上，有几只老鼠在那儿胆大地啃食。
天涯海角,任何地方,像妈妈所期望的那样，到那时，就谁也不能阻止我们相爱了，我决不会留恋这个家，我有力量飞出去，和你一起到天涯海角去，去寻找属于我们的一片净土！,像妈妈所期望的那样，到那时，就谁也不能阻止我们相爱了，我决不会留恋这个家，我有力量飞出去，和你一起到任何地方去，去寻找属于我们的一片净土！
措手不及,突发状况,所以，他就故意地突然撞来，制造一个措手不及。,所以，他就故意地突然撞来，制造一个突发状况。
先恐后地,抢着,炸油糕与麻花的甜香气，与炸臭豆腐干的气息混合在一起；卖瓜果蔬菜的与卖粮油副食的争先恐后地吆喝着，地面渐渐地积了瓜子皮、纸屑、烟蒂、菜叶等遗弃物，当然还有人们随口吐出的痰。,炸油糕与麻花的甜香气，与炸臭豆腐干的气息混合在一起；卖瓜果蔬菜的与卖粮油副食的争抢着吆喝，地面渐渐地积了瓜子皮、纸屑、烟蒂、菜叶等遗弃物，当然还有人们随口吐出的痰。
虚张声势,夸大场景,对公开招亲的事，老秦有些虚张声势，也就做个样子给人看；看老杨做事滑稽，也是逗他说两句话解解闷气。,对公开招亲的事，老秦有些夸大场景，也就做个样子给人看；看老杨做事滑稽，也是逗他说两句话解解闷气。
念念有词,嘀咕着,"天星出生七日，韩子奇请阿匐为孩子起经名，由玉儿替姐姐抱着孩子，隔着产房的窗户，阿匐口中念念有词，吩咐里边将孩子有耳朝着他，轻轻地吹去一口气；再掉过方向，朝左耳吹一口气；然后接""堵阿以""，命名仪式完成，赐名为""赞穆赞穆""，汉字的字面有赞颂伊斯兰教创始人穆罕默德之意，阿拉伯文的原义则是""吮""，是圣地麦加城中泉水的名字，每年伊斯兰历十二月，前往朝觐的穆斯林都要痛饮""赞穆赞穆""泉水，如同吸吮着母亲的乳汁。","天星出生七日，韩子奇请阿匐为孩子起经名，由玉儿替姐姐抱着孩子，隔着产房的窗户，阿匐口中嘀咕着，吩咐里边将孩子有耳朝着他，轻轻地吹去一口气；再掉过方向，朝左耳吹一口气；然后接""堵阿以""，命名仪式完成，赐名为""赞穆赞穆""，汉字的字面有赞颂伊斯兰教创始人穆罕默德之意，阿拉伯文的原义则是""吮""，是圣地麦加城中泉水的名字，每年伊斯兰历十二月，前往朝觐的穆斯林都要痛饮""赞穆赞穆""泉水，如同吸吮着母亲的乳汁。"
半死不活,奄息,我爹死得早，我和我娘全凭叔叔和小娘照顾，可祸不单行，我小娘就瘫了，她也是没福的人，叔叔‘文革’中受批斗，她身子好好的，担惊受怕，叔叔恢复工作了，她却一场中风，至今半死不活地躺着。,我爹死得早，我和我娘全凭叔叔和小娘照顾，可不幸接连发生，我小娘就瘫了，她也是没福的人，叔叔‘文革’中受批斗，她身子好好的，害怕担心，叔叔恢复工作了，她却一场中风，至今奄息地躺着。
蓬头垢面,满脸邋遢,沈连续跟主公逃窜，已是蓬头垢面。,沈连续跟主公逃窜，已是满脸邋遢。
手舞足蹈,笔画,我手舞足蹈地说：“明天早晨有船坐了。”,我笔画地说：“明天早晨有船坐了。”
堂堂正正,盛大,既然是仙姑，就完全没有必要象一个被休掉的偷汉子老婆一样灰溜溜地从河堤上溜走，就完全有必要堂堂正正地沿着大街走出村庄，谁看到她是谁的福气，谁看不到她是谁一辈子的遗憾。,既然是仙姑，就完全没有必要象一个被休掉的偷汉子老婆一样灰溜溜地从河堤上溜走，就完全有必要盛大地沿着大街走出村庄，谁看到她是谁的福气，谁看不到她是谁一辈子的遗憾。
敲锣打鼓,声势大,他把院门要拉开，又怕门扇响，在门轴窝尿了些尿，刚拉开个门缝，是牛铃往过走，他说：干啥哩，这阵敲锣打鼓的？,他把院门要拉开，又怕门扇响，在门轴窝尿了些尿，刚拉开个门缝，是牛铃往过走，他说：干啥哩，这阵声势大的？
像煞有介,没事找,幼儿自称乳名，却因为自我观念还未十分发达，听见人家称自己乳名，也就如法炮制，可教大人听着乐，为的是“像煞有介事”。,幼儿自称乳名，却因为自我观念还未十分发达，听见人家称自己乳名，也就按现有的方法办事，可教大人听着乐，为的是“没事找事”。
铺天盖地,全部,圆锥形的、圆柱形的、鸡蛋形的、乳房形的、芳唇形的、花蕾形的、刺猬形的、玉米形的、高粱形的、香蕉形的、军号形的、家免形的、乌龟形的、如意形的冰雹铺天盖地地倾泻下来。,圆锥形的、圆柱形的、鸡蛋形的、乳房形的、芳唇形的、花蕾形的、刺猬形的、玉米形的、高粱形的、香蕉形的、军号形的、家免形的、乌龟形的、如意形的冰雹全部地倾泻下来。
此起彼伏,有节奏地,我着急万分，听出窸窸窣窣的声浪越来越大，看见一串串老鼠从门缝里、树洞里、小巷里以及菜园里蹿出来，汇成巨流，盖满一街，漫向墙基和水沟，此起彼伏你蹦我跳，形成遍地的朵朵黑浪。,我着急万分，听出窸窸窣窣的声浪越来越大，看见一串串老鼠从门缝里、树洞里、小巷里以及菜园里蹿出来，汇成巨流，盖满一街，漫向墙基和水沟，有节奏地你蹦我跳，形成遍地的朵朵黑浪。
一目了然,十分清晰,譬如他谈他喜欢的女人类型，说这人像鹿：一，头小；二，脖子长；三，胸大；四，腿细；让人听了，倒一目了然。,譬如他谈他喜欢的女人类型，说这人像鹿：一，头小；二，脖子长；三，胸大；四，腿细；让人听了，倒十分清晰。
千篇一律,重复很多次,这动作也不是千篇一律，他轻轻重重，左左右右，竟将李雪莲的兴致慢慢调了上来。,这动作也不是重复很多次，他轻轻重重，左左右右，竟将李雪莲的兴致慢慢调了上来。
谢天谢地,幸好,哎，谢天谢地……”他忽然气喘起来，说不下去了，便格勒勒小声笑了笑。,哎，幸好……”他忽然气喘起来，说不下去了，便格勒勒小声笑了笑。
打成一片,玩得很好,先来校的四个中国文学系的讲师和助教早和他打成一片，学生也唯命是听。,先来校的四个中国文学系的讲师和助教早和他玩得很好，学生也很听话。
这个成语,烦,简化成“百读不厌”这个成语，却就着重在读的书或作品了。,简化成多次阅读都不会厌烦，却就着重在读的书或作品了。
疲惫不堪,沧桑,水晶般的太阳在蔚蓝色的天空中缓慢移动着，街道上黄光迷漫，笼罩着几只在疲惫不堪的桑树荫下耍流氓的公鸡，公鸡羽毛华丽，母鸡羽毛蓬松……,水晶般的太阳在蔚蓝色的天空中缓慢移动着，街道上黄光迷漫，笼罩着几只在沧桑的桑树荫下耍流氓的公鸡，公鸡羽毛华丽，母鸡羽毛蓬松……
有自知之,经十分,一惊之时尚在年少，不敢说已有自知之明，但潜意识不受束缚，一针见血什么都看得清楚。,一惊之时尚在年少，不敢说自己已经十分明白，但潜意识不受束缚，一下子什么都看得清楚。
