idiom,explanation,original_sentence,original_paraphrase
讨价还价,反复争议,就让我们想象一下欧洲为了应对最迫在眉睫的挑战需要怎么做，特别是它如果能够摆脱50年来欧盟讨价还价和朝三暮四的制度建设的政治制约。,就让我们想象一下欧洲为了应对最紧急的挑战需要怎么做，特别是它如果能够摆脱50年来欧盟反复争议和变化的制度建设的政治制约。
朝三暮四,变化,就让我们想象一下欧洲为了应对最迫在眉睫的挑战需要怎么做，特别是它如果能够摆脱50年来欧盟讨价还价和朝三暮四的制度建设的政治制约。,就让我们想象一下欧洲为了应对最紧急的挑战需要怎么做，特别是它如果能够摆脱50年来欧盟反复争议和变化的制度建设的政治制约。
血肉横飞,惨烈,由此可见，目前已经展开的，对阿拉伯以及穆斯林世界未来走向的争夺，其决定最终胜负的地方不是在血肉横飞战场，而是在那学校的朗朗读书声中。,由此可见，目前已经展开的，对阿拉伯以及穆斯林世界未来走向的争夺，其决定最终胜负的地方不是在惨烈战场，而是在那学校的朗朗读书声中。
裹足不前,无法进步,还有那种对自我实现的预信感。如果你觉得自己会失败，就很可能裹足不前甚至作茧自缚了（有时是无意识的）。,还有那种对自我实现的预信感。如果你觉得自己会失败，就很可能无法进步甚至自己使自己陷入困境了（有时是无意识的）。
了然于胸,十分清楚,结论就是，满足这些条件的代价显然超过了低利率的好处，许多潜在申请人对此了然于胸。,结论就是，满足这些条件的代价显然超过了低利率的好处，许多潜在申请人对此十分清楚。
名利双收,获得荣誉和财富,四年前雅典一役刘翔的胜利预示了跨栏选手无限的机遇。现在他已经名利双收，成为了最受欢迎的广告代言人和富豪。,四年前雅典一役刘翔的胜利预示了跨栏选手无限的机遇。现在他已经获得荣誉和财富，成为了最受欢迎的广告代言人和富豪。
漠然置之,态度冷淡,说到底，对拯救生命的措施要兴师动众，而对当前致人以死的巴勒斯坦恐怖主义却漠然置之，实在让人无法容忍。,说到底，对拯救生命的措施要动用许多人力，而对当前致人以死的巴勒斯坦恐怖主义却态度冷淡，实在让人无法容忍。
鳞次栉比,排列密集,现在，五星级旅馆和摩天大楼鳞次栉比，道路上挤满了车辆。,现在，五星级旅馆和摩天大楼排列密集，道路上挤满了车辆。
固步自封,满足,虽然我们承认经济及社会理事会取得了积极的进展，但我们不能固步自封。,尽管我们承认经济及社会理事会取得了积极进展，但我们不能满足。
宾至如归,就像回到自己家里一样,酒店的宁静氛围让客人完全找到了宾至如归的感觉。,酒店的宁静氛围让客人完全找到了就像回到自己家里一样的感觉。
全心全意,真诚,哦，的确，快乐是首自由的歌。我愿你们全心全意地歌唱它。,哦，的确，快乐是首自由的歌。我愿你们真诚地歌唱它。
不知不觉,无意识,但那种感觉真不好受，自从那次三棱镜事件后，我开始害怕你，不知不觉中觉得好在乎你。,但那种感觉真不好受，自从那次三棱镜事件后，我开始害怕你，无意识中觉得好在乎你。
夸夸而谈,辩论,怀疑者认为，相比具体行动，欧盟更擅长夸夸而谈。,怀疑者认为，相比具体行动，欧盟更擅长辩论。
满腹经纶,很有才识,拉尔夫瓦尔多爱默生和其他一些先验主义哲学家认为学校教育和死啃书本抑制了孩子们的天性。“我们被关在中效和大学的背诵室里十年或十五年，最后出来时满腹经纶却什么也不懂。”,拉尔夫瓦尔多爱默生和其他一些先验主义哲学家认为学校教育和死啃书本抑制了孩子们的天性。“我们被关在中效和大学的背诵室里十年或十五年，最后出来时很有才识却什么也不懂。”。
形容憔悴,很虚弱,她经历了数周不眠之夜，看上去脸色苍白，形容憔悴。,她经历了数周不眠之夜，看上去脸色苍白，很虚弱。
形容枯槁,身体瘦弱,为何杀不死：一个形容枯槁的巫师，袖子里藏了不少把戏。,为何杀不死：一个身体瘦弱的巫师，袖子里藏了不少把戏。
像模像样,认真,不要介意自己是否笨拙，你会在像模像样地跳舞时时髦又有个性。现在看着我，嘿！,不要介意自己是否笨拙，你会在认真地跳舞时时髦又有个性。现在看着我，嘿！
甘拜下风,承认失败,方便面的这种方便和快捷性能使其他加热方便主食，只能甘拜下风。,方便面的这种方便和快捷性能使其他加热方便主食只能承认失败。
文质彬彬,温柔,白白净净，文质彬彬，一副金丝边眼镜，玉树临风的一个小伙子印象!,白净，温柔，一副眼镜，潇洒帅气的一个小伙子印象!
玉树临风,潇洒帅气,白白净净，文质彬彬，一副金丝边眼镜，玉树临风的一个小伙子印象!,白净，温柔，一副眼镜，潇洒帅气的一个小伙子印象!
悄然无声,寂静,而当他在1981年遇刺身亡时，埃及国内却悄然无声。众多的外国领导人出席了他的葬礼，但埃及人露面的却很少。,而当他在1981年遇刺身亡时，埃及国内却寂静。众多的外国领导人出席了他的葬礼，但埃及人露面的却很少。
名垂青史,被后人记住,他作为民族英雄而名垂青史。,他作为民族英雄而被后人记住。
三缄其口,说话谨慎,她说她将终其一生将这个秘密尘封在心中，尤其是对她的丈夫更要三缄其口。,她说她将终其一生将这个秘密尘封在心中，尤其是对她的丈夫更要说话谨慎。
故态复萌,像之前一样,她不再往下想了，不由得脸红了，笑自己又故态复萌。接着她又更加认真、更加颓丧地回顾了已经发生的事，揣摩了可能发生和必定发生的事。,她不再往下想了，不由得脸红了，笑自己又像之前一样。接着她又更加认真、更加颓丧地回顾了已经发生的事，揣摩了可能发生和必定发生的事。
沆瀣一气,相互勾结,政客也和真神宫沆瀣一气，这有助于维持社会和平，安抚不满，将沮丧转化为建设性活动。,政客也和真神宫相互勾结，这有助于维持社会和平，安抚不满，将沮丧转化为建设性活动。
巨大苦难,折磨,我国认识到安哥拉的男女老幼经历的无法形容的巨大苦难。,我国意识到安哥拉男子、妇女、老人和儿童所遭受的难以形容的折磨。
招摇过市,在众人面前炫耀自己,女王巡幸，招摇过市，全然是先王后裔大亮相。,女王巡幸，在众人面前炫耀自己，全然是先王后裔大亮相。
手无寸铁,没有反抗能力,鲨鱼可能会再来袭击我，但是一个手无寸铁的人，如何在黑暗中对付它们呢？,鲨鱼可能会再袭击我一次，但作为一个没有反抗能力的人，又怎么能在黑暗中对付它们呢？
意料之外,事先估计,出乎凯伦意料之外，那女人竟然开口了。她说她还在服缓刑，很有可能会被逮捕。,出乎凯伦事先估计，那女人竟然开口了。她说她还在服缓刑，很有可能会被逮捕。
一闪即逝,瞬间消失,“与其让他们阴谋诡计，倒不如干脆点，杀了他们！”姬宇晨双眼寒光一闪即逝！,“与其让他们使用阴谋，倒不如干脆点，杀了他们！”姬宇晨双眼寒光瞬间消失！
网开一面,表示宽容,该项调查对简历中司空见惯的低级编造网开一面，而只考虑“重大美化”。,该项调查对简历中常见的低级编造表示宽容，而只考虑“重大美化”。
无法无天,没有约束,如果我们的城市不能快点提供就业机会，这些无法无天的人会把我折腾得半死。,如果我们的城市不能快点提供就业机会，这些没有约束的人会把我折腾得半死。
大谬不然,错误,但实际上，这种想法实在是大谬不然。,但实际上，这种想法实在是错误。
扭扭捏捏,害羞,沈括要买房，扭扭捏捏的让左伊陪他一起去看房。,沈括要买房，害羞的让左伊陪他一起去看房。
花团锦簇,漂亮,当这些花团锦簇的礼袋和红包呈现在他们眼前时，每个孩子都惊喜万分！,当他们收到这些漂亮的礼物袋和中国新年礼物信封时，他们是多么惊讶啊！
不敢问津,无法接受,这种震荡往往对发展中国家的初级商品生产者有双重影响：首先，世界市场的价格下跌，而且下跌幅度往往超过有竞争性的世界市场应有的幅度，因为发达国家的生产者由于补助而免受价格下跌的影响；第二，资金费用高得不敢问津。,这种震荡往往对发展中国家的初级商品生产者有双重影响：首先，世界市场的价格下跌，而且下跌幅度往往超过有竞争性的世界市场应有的幅度，因为发达国家的生产者由于补助而免受价格下跌的影响；第二，资金费用高得无法接受。
无关宏旨,意义不大,其次，国际劳工大会可以修订显然不足的公约这点未能证明为适用一项排除条款作出的单方面声明的法律性质：不能将经修订的公约强加于在加入原公约时作出这种声明的国家；在这种情况下，它们是否构成保留无关宏旨；,其次，国际劳工大会可以修订显然不足的公约这点未能证明为适用一项排除条款作出的单方面声明的法律性质：不能将经修订的公约强加于在加入原公约时作出这种声明的国家；在这种情况下，它们是否构成保留意义不大；
岿然不动,坚挺,曾任职于纽约联邦储备银行、现供职投资管理公司贝莱德的彼得费舍说，理论上讲，风险分散这个想法很好，不过实际上，这要取决于分散给了什么人；现在看来，我们没有把风险分散给那些能在动荡的时候仍能岿然不动的强手，而是分散给了那些承受不住风险的弱者，最后反而使动荡加剧了。,曾任职于纽约联邦储备银行、现供职投资管理公司贝莱德的彼得费舍说，理论上讲，风险分散这个想法很好，不过实际上，这要取决于分散给了什么人；现在看来，我们没有把风险分散给那些能在动荡的时候仍能坚挺的强手，而是分散给了那些承受不住风险的弱者，最后反而使动荡加剧了。
寥寥可数,很少,其次，由于战争破坏和长期失修，可供使用的房舍寥寥可数。,其次，由于战争破坏和长期失修，可供使用的房舍很少。
来覆去左,动身体胡乱,第二天我肯定会筋疲力尽，但是总比躺在床上翻来覆去左思右想睡不着的好。,第二天我肯定会非常疲倦，但是总比躺在床上来回翻动身体胡乱思考睡不着的好。
同床共枕,睡在一起,奥森，如果我们不能同床共枕，那就会伤害我们婚姻的亲密感。,奥森，如果我们不能睡在一起，那就会伤害我们婚姻的亲密感。
怡然自得,愉快而满足,开始的时候，单位的同事常有些怨言，后来竟如他一般的怡然自得了。,开始的时候，单位的同事常有些怨言，后来竟如他一般的愉快而满足了。
遍地开花,不断扩大,结果，阿富汗现在极有可能陷入种族和部族分裂，割据势力或军阀控制的飞地将遍地开花。,结果，阿富汗现在极有可能陷入种族和部族分裂，割据势力或军阀控制的飞地将不断扩大。
调查足够,要相称的,“请秘书长为举目无亲的未成年难民同他们家庭团聚之所需调查足够资源;,“请秘书长调集与孤身未成年难民与家人团聚的需要相称的资源;
怪力乱神,魔法,修正奇迹与怪力乱神之间的混淆的一种方法，便是记得你并不是自己创造出来的。,修正奇迹与魔法之间的混淆的一种方法，便是记得你并不是自己创造出来的。
不打自招,主动承认,她问道，完全没想到她不该对这个消息露出关切，这不合她的身份，这么问简直是不打自招了。,她问道，完全没想到她不该对这个消息露出关切，这不合她的身份，这么问简直是主动承认了。
满面红光,精神舒畅,她散完步后满面红光。,她散完步后精神舒畅。
约法三章,规定,我们需要约法三章怎样去处理女儿国的问题。,我们需要规定怎样去处理女儿国的问题。
翻江倒海,不舒服了,但胃又开始翻江倒海，胆汁返到了嗓子眼马普安觉得自己真是“有苦水往肚子里咽”。,但胃又开始不舒服了，胆汁返到了嗓子眼马普安觉得自己真是“有苦水往肚子里咽”。
茅塞顿开,突然获得启发。,我回答艰难的问题让你茅塞顿开,我回答艰难的问题让你突然获得启发。
甘于去忽,愿意无,我们会员国是否为隔岸观火、无动于衷感到内疚呢?在我国政府看来，长久以来，本组织会员国都甘于去忽视2300万台湾人民的困境，由于安全理事会一个常任理事国的顽固态度，他们的基本权利被否定。,我们会员国是否为旁观、无为感到内疚呢?在我国政府看来，本组织会员国似乎很长时间以来都愿意无视2300万台湾人民的困境，他们由于安全理事会一个常任理事国的顽固立场而被剥夺了基本权利。
阴差阳错,意外,他原本梦想做一名导游，可命运却阴差阳错地让他当上了邮差。,他曾梦想做导游，可命运却意外地让他当上了邮差。
意气用事,缺乏理智,校园枪击手往往是意气用事，在狂怒之下攻击他们所能触及的目标:学生和教员。,校园枪击手往往是缺乏理智，在狂怒之下攻击他们所能触及的目标:学生和教员。
可歌可泣,值得称赞,不过，过去几年，正如其他发言人在大会上提出，各种方案，如全球抗击艾滋病、结核病和疟疾基金、美国总统艾滋病紧急救援计划、以及各国政府、非政府组织、慈善机构、以及其他许多方面已经作出可歌可泣的努力，向需要者提供艾滋病药物。,不过，过去几年，正如其他发言人在大会上提出，各种方案，如全球抗击艾滋病、结核病和疟疾基金、美国总统艾滋病紧急救援计划、以及各国政府、非政府组织、慈善机构、以及其他许多方面已经作出值得称赞的努力，向需要者提供艾滋病药物。
事不关己,无所谓,他们的身体就像一堆滚烫的蜡一样开始冒泡变形；赫敏和蒙格顿斯在快速地长高，罗恩，弗雷德和乔治的身体则不住地收缩，头发也在变黑；赫敏和芙蓉的头发好像在往头皮回缩；穆迪看上去一副事不关己的模样，只是弯下腰松了松麻袋的口子,他们的身体就像一堆滚烫的蜡一样开始冒泡变形；赫敏和蒙格顿斯在快速地长高，罗恩，弗雷德和乔治的身体则不住地收缩，头发也在变黑；赫敏和芙蓉的头发好像在往头皮回缩；穆迪看上去一副无所谓的模样，只是弯下腰松了松麻袋的口子
点头哈腰,恭顺行礼,我不在乎他说什么，我对任何人都不点头哈腰。,我不在乎他说什么，我对任何人都不恭顺行礼。
抱成一团,联合起来,其中的障碍是家庭或家族抱成一团、证人受到威胁以及执法官员和司法官员也受到威胁。,家庭或家族联合起来、证人受到威胁以及执法官员和司法官员也受到威胁。
但它一直,而是,我们的征途上并非绿草如茵，那是一条布满岩石的山路，但它一直向上向前通向太阳。,我们的道路不是布满了柔软的草，而是有许多岩石的山径，而是向上，朝太阳走去。
向前通向,，朝,我们的征途上并非绿草如茵，那是一条布满岩石的山路，但它一直向上向前通向太阳。,我们的道路不是布满了柔软的草，而是有许多岩石的山径，而是向上，朝太阳走去。
一口咬定,坚持说,"即使精神病学专家表示需要更深入的分析，因为""不能确定此人肇事时是否患有精神病...""，可是从未进行这种分析，因此无法知道是否如被告一口咬定那样，他是在心神意乱情况下行事的。","即使精神病学专家表示需要更深入的分析，因为""不能确定此人肇事时是否患有精神病...""，可是从未进行这种分析，因此无法知道是否如被告坚持说那样，他是在心神意乱情况下行事的。"
恶意中伤,诽谤,如果他告我诽谤，我就反告他恶意中伤，那他就输了。,如果他告我诽谤，我就反告他诽谤，那他就输了。
形影不离,彼此关系亲密，经常在一起,完美伴娘要和新娘形影不离。,完美伴娘要和新娘彼此关系亲密，经常在一起。
先发制人,争取主动,时刻警惕可能存在的抨击，先发制人。,时刻警惕可能存在的抨击，争取主动。
白手起家,没有基础自己创业,大部分白手起家的百万富翁都是自我雇佣或者拥有他们自己的企业，他们都有出色的头脑，并且拥有将想法转换为现实的能力。,大部分没有基础自己创业的百万富翁都是自我雇佣或者拥有他们自己的企业，他们都有出色的头脑，并且拥有将想法转换为现实的能力。
不屈不挠,意志十分坚强,初期教会是以耶稣基督存在为基础的一股饱含信念、爱和牺牲的不屈不挠的力量。,初期教会是以耶稣基督存在为基础的一股饱含信念、爱和牺牲的意志十分坚强的力量。
铮铮有声,很响亮,伯3箭袋和发亮的枪、并短枪、在他身上铮铮有声。,伯3箭袋和发亮的枪、并短枪、在他身上很响亮。
动辄得咎,被责难,此外，行政律令多如牛毛使许多正常的平民行动动辄得咎，刑罪极不相称，不经司法审查即授权逮捕和拘禁，使特别报告员的结论认为，依国际标准衡量有极大比率的逮捕和拘禁是任意的。,此外，行政律令非常多使许多正常的平民行动被责难，刑罪极不相称，不经司法审查即授权逮捕和拘禁，使特别报告员的结论认为，依国际标准衡量有极大比率的逮捕和拘禁是任意的。
攻其不备,以这么做,股票经纪人没按原来的打算把巴伯先生逼入绝境，你不可攻其不备。,股票经纪人们并没有按他们的意图把巴伯先生逼入绝境，你不可以这么做。
太平无事,很顺利,我年轻的时候还太平无事。,我年轻的时候还很顺利。
岂有此理,太荒唐了,真是岂有此理。哦，菲比，我想我们俩攒够了钱便买一小块地，将来你就要跟母牛去哞哞叫唤了。,真是太荒唐了。哦，菲比，我想我们俩攒够了钱便买一小块地，将来你就要跟母牛去哞哞叫唤了。
全军覆没,彻底失败,在断杖之役中，亡灵巫师们全军覆没了。,在断杖之役中，亡灵巫师们彻底失败了。
两手空空,什么也没有,每天早晨他划着小船到有大鱼出没的墨西哥湾流去，每天晚上他总是两手空空地回来。,每天早晨他划着小船到有大鱼出没的墨西哥湾流去，每天晚上他总是什么也没有地回来。
我行我素,按照自己的一套去做,他受过正统的教育，却立意过着艺术家我行我素的生活。,他受过正统的教育，却立意过着艺术家按照自己的一套去做的生活。
标新立异,故意显出自己的不同,另外，有关应收款转让的大部分适用条例既标新立异又非常复杂，不符合当前的金融交易。,另外，有关应收款转让的大部分适用条例既故意显出自己的不同又非常复杂，不符合当前的金融交易。
麻木不仁,冷漠,我们不能因目前需求不振而麻木不仁。,我们不能因目前需求不振而冷漠。
愤世嫉俗,批判,愤世嫉俗者是一个知道所有东西的价格、却不知道它们的价值的人。,批判者是一个知道所有东西的价格、却不知道它们的价值的人。
拍案而起,很生气,美国人尊重生命，我们的未来的领导人会对这样的残暴行为拍案而起，而非睁一只眼闭一只眼。,美国人尊重生命，我们的未来的领导人会对这样的残暴行为很生气，而非不管。
千回百转,复杂,她追寻爱情，然后发现，爱，从来就是一件千回百转的事。,她追踪着爱情，然后发现，爱情，一直是一件复杂的事情。
翩翩风度,潇洒超脱,房地产巨头唐纳德·特朗普带着特有的翩翩风度指出应该把智慧儒雅的罗伯茨称之为“蠢货”。,房地产巨头唐纳德·特朗普带着特有的潇洒超脱指出应该把智慧儒雅的罗伯茨称之为“蠢货”。
破绽百出,漏洞很多,震惊地注意到在被拘留者之中，另有其他人将由导致任意处决肯萨罗-维瓦及其共同被告的同一破绽百出的司法程序审判，,震惊地注意到在被拘留者之中，另有其他人将由导致任意处决肯萨罗-维瓦及其共同被告的同一漏洞很多的司法程序审判，
协议的话,一致,如果我们能达成协议的话，我们愿意归顺，并且说一不二。,如果我们能够达成一致，我们愿意归顺，而且不会有任何意见。
鱼死网破,无畏,现在初中的我，虽然有痛改前非的架势有一点鱼死网破的精神。,现在初中的我，虽然有彻底悔改的架势有一点无畏的精神。
称兄道弟,友好相处,我跟他称兄道弟是为了保住自己明白么伙计?,我跟他友好相处是为了保住自己明白么伙计?
引火烧身,伤及自己,一个对极端主义日渐缺乏免疫力的社会中再加上一个完全失效的政府当局实际上是在引火烧身。,一个对极端主义日渐缺乏免疫力的社会中再加上一个完全失效的政府当局实际上是在伤及自己。
四脚朝天,仰面,那个梦悠悠、美滋滋的舟子四脚朝天，跌倒在船底。,那个梦悠悠、美滋滋的舟子仰面跌倒在船底。
点睛之笔,关键,经济新闻英语标题经济新闻报道的开门点睛之笔，特定的文体特点。,经济新闻英语标题经济新闻报道的开门关键，特定的文体特点。
悬崖峭壁,险峻,干旱的气候让码头原本美丽的湖光山色变成了悬崖峭壁的荒原之景。,干旱的气候让码头原本美丽的湖和山相映衬的秀丽景色变成了险峻的荒原之景。
稳扎稳打,有把握地进行,你刚接触这项工作，一定要稳扎稳打。,你刚接触这项工作，一定要有把握地进行。
