src,dst,src_tokenized,dst_tokenized
我正站在石阶上，望着那群小女孩儿，个个捞起裙子，兴高采烈地踢着毽子，忽然看见王雄从那丛芭蕉树后问了出来，朝着丽儿直招手，悄悄地叫道：,我正站在石阶上，望着那群小女孩儿，个个捞起裙子，高兴地踢着毽子，忽然看见王雄从那丛芭蕉树后问了出来，朝着丽儿直招手，悄悄地叫道：,我 正 站 在 石 阶 上 ， 望 着 那 群 小 女 孩 儿 ， 个 个 捞 起 裙 子 ， 兴 高 采 烈 地 踢 着 毽 子 ， 忽 然 看 见 王 雄 从 那 丛 芭 蕉 树 后 问 了 出 来 ， 朝 着 丽 儿 直 招 手 ， 悄 悄 地 叫 道 ：,我 正 站 在 石 阶 上 ， 望 着 那 群 小 女 孩 儿 ， 个 个 捞 起 裙 子 ， 高 兴 地 踢 着 毽 子 ， 忽 然 看 见 王 雄 从 那 丛 芭 蕉 树 后 问 了 出 来 ， 朝 着 丽 儿 直 招 手 ， 悄 悄 地 叫 道 ：
一串单个的名字，同到一堆如像恋爱，作媒，结婚，亲嘴的字言，四面八方的掷来，少年为这些来去无踪的零碎片段思想包围，人是苦恼了。,一串单个的名字，同到一堆如像恋爱，作媒，结婚，亲嘴的字言，从各个方向掷来，少年为这些隐秘的零碎片段思想包围，人是苦恼了。,一 串 单 个 的 名 字 ， 同 到 一 堆 如 像 恋 爱 ， 作 媒 ， 结 婚 ， 亲 嘴 的 字 言 ， 四 面 八 方 的 掷 来 ， 少 年 为 这 些 来 去 无 踪 的 零 碎 片 段 思 想 包 围 ， 人 是 苦 恼 了 。,一 串 单 个 的 名 字 ， 同 到 一 堆 如 像 恋 爱 ， 作 媒 ， 结 婚 ， 亲 嘴 的 字 言 ， 从 各 个 方 向 掷 来 ， 少 年 为 这 些 隐 秘 的 零 碎 片 段 思 想 包 围 ， 人 是 苦 恼 了 。
老范听到这两个消息，大吃一惊，也十分愤怒。,老范听到这两个消息，十分吃惊，也十分愤怒。,老 范 听 到 这 两 个 消 息 ， 大 吃 一 惊 ， 也 十 分 愤 怒 。,老 范 听 到 这 两 个 消 息 ， 十 分 吃 惊 ， 也 十 分 愤 怒 。
他常常事先就定下一些活动和约会，可等到晚饭后七八点钟，夜间的节目即将拉开帷幕，他却不由自主地车头一转，驶上去王琦瑶家的路上，就好像那些梦雳在向他招手。,他常常事先就定下一些活动和约会，可等到晚饭后七八点钟，夜间的节目即将拉开帷幕，他却不由地车头一转，驶上去王琦瑶家的路上，就好像那些梦雳在向他招手。,他 常 常 事 先 就 定 下 一 些 活 动 和 约 会 ， 可 等 到 晚 饭 后 七 八 点 钟 ， 夜 间 的 节 目 即 将 拉 开 帷 幕 ， 他 却 不 由 自 主 地 车 头 一 转 ， 驶 上 去 王 琦 瑶 家 的 路 上 ， 就 好 像 那 些 梦 雳 在 向 他 招 手 。,他 常 常 事 先 就 定 下 一 些 活 动 和 约 会 ， 可 等 到 晚 饭 后 七 八 点 钟 ， 夜 间 的 节 目 即 将 拉 开 帷 幕 ， 他 却 不 由 地 车 头 一 转 ， 驶 上 去 王 琦 瑶 家 的 路 上 ， 就 好 像 那 些 梦 雳 在 向 他 招 手 。
这血明明白白是为茅草割破手而流，五明流血是为帮同阿黑采蕨责任在阿黑，也很显然了。,这血分明是为茅草割破手而流，五明流血是为帮同阿黑采蕨责任在阿黑，也很显然了。,这 血 明 明 白 白 是 为 茅 草 割 破 手 而 流 ， 五 明 流 血 是 为 帮 同 阿 黑 采 蕨 责 任 在 阿 黑 ， 也 很 显 然 了 。,这 血 分 明 是 为 茅 草 割 破 手 而 流 ， 五 明 流 血 是 为 帮 同 阿 黑 采 蕨 责 任 在 阿 黑 ， 也 很 显 然 了 。
海上的雾气似乎淡薄了一些，隐隐约约能看到近处淡白的海面。,海上的雾气似乎淡薄了一些，隐约能看到近处淡白的海面。,海 上 的 雾 气 似 乎 淡 薄 了 一 些 ， 隐 隐 约 约 能 看 到 近 处 淡 白 的 海 面 。,海 上 的 雾 气 似 乎 淡 薄 了 一 些 ， 隐 约 能 看 到 近 处 淡 白 的 海 面 。
“大表哥，我总觉得你想得太多一点，”琴不以为然地说。,“大表哥，我总觉得你想得太多一点，”琴表示不赞同地说。,“ 大 表 哥 ， 我 总 觉 得 你 想 得 太 多 一 点 ， ” 琴 不 以 为 然 地 说 。,“ 大 表 哥 ， 我 总 觉 得 你 想 得 太 多 一 点 ， ” 琴 表 示 不 赞 同 地 说 。
充作饼馅的麦芽糖，软软甜甜且不说，最不可思议的是它不腻、不滞、不粘牙。,充作饼馅的麦芽糖，软软甜甜且不说，最神奇的是它不腻、不滞、不粘牙。,充 作 饼 馅 的 麦 芽 糖 ， 软 软 甜 甜 且 不 说 ， 最 不 可 思 议 的 是 它 不 腻 、 不 滞 、 不 粘 牙 。,充 作 饼 馅 的 麦 芽 糖 ， 软 软 甜 甜 且 不 说 ， 最 神 奇 的 是 它 不 腻 、 不 滞 、 不 粘 牙 。
因此我恍然大悟，那种眉花眼笑的美满结婚照相，全不是当时照的。”,因此我突然明白，那种眉花眼笑的美满结婚照相，全不是当时照的。”,因 此 我 恍 然 大 悟 ， 那 种 眉 花 眼 笑 的 美 满 结 婚 照 相 ， 全 不 是 当 时 照 的 。 ”,因 此 我 突 然 明 白 ， 那 种 眉 花 眼 笑 的 美 满 结 婚 照 相 ， 全 不 是 当 时 照 的 。 ”
志摩生前，最为人所误解，而实际也许是催他速死的最大原因之一的一重性格，是他的那股不顾一切，带有激烈的燃烧性的热情。,志摩生前，最为人所误解，而实际也许是催他速死的最大原因之一的一重性格，是他的那股一股脑，带有激烈的燃烧性的热情。,志 摩 生 前 ， 最 为 人 所 误 解 ， 而 实 际 也 许 是 催 他 速 死 的 最 大 原 因 之 一 的 一 重 性 格 ， 是 他 的 那 股 不 顾 一 切 ， 带 有 激 烈 的 燃 烧 性 的 热 情 。,志 摩 生 前 ， 最 为 人 所 误 解 ， 而 实 际 也 许 是 催 他 速 死 的 最 大 原 因 之 一 的 一 重 性 格 ， 是 他 的 那 股 一 股 脑 ， 带 有 激 烈 的 燃 烧 性 的 热 情 。
他们的怒气被激起来，大家都不约而同地留神去找尤大兴的破绽，好借口打他。,他们的怒气被激起来，大家都同时留神去找尤大兴的破绽，好借口打他。,他 们 的 怒 气 被 激 起 来 ， 大 家 都 不 约 而 同 地 留 神 去 找 尤 大 兴 的 破 绽 ， 好 借 口 打 他 。,他 们 的 怒 气 被 激 起 来 ， 大 家 都 同 时 留 神 去 找 尤 大 兴 的 破 绽 ， 好 借 口 打 他 。
冯云卿吐去了那含在嘴里有好半天的一口浓痰，慌慌张张问。,冯云卿吐去了那含在嘴里有好半天的一口浓痰，慌张问。,冯 云 卿 吐 去 了 那 含 在 嘴 里 有 好 半 天 的 一 口 浓 痰 ， 慌 慌 张 张 问 。,冯 云 卿 吐 去 了 那 含 在 嘴 里 有 好 半 天 的 一 口 浓 痰 ， 慌 张 问 。
它一言不发地夹在其他赤身露体的糕饼当中，有一种无声的热闹，有一种难掩的喜气。,它沉默地夹在其他裸露的糕饼当中，有一种无声的热闹，有一种难掩的喜气。,它 一 言 不 发 地 夹 在 其 他 赤 身 露 体 的 糕 饼 当 中 ， 有 一 种 无 声 的 热 闹 ， 有 一 种 难 掩 的 喜 气 。,它 沉 默 地 夹 在 其 他 裸 露 的 糕 饼 当 中 ， 有 一 种 无 声 的 热 闹 ， 有 一 种 难 掩 的 喜 气 。
冬天的太阳软绵绵的，晒得人全身都有一股说不出的懒怠劲，我喜欢那么悠悠晃晃，做白日梦，一堂课我胡思乱想混去了半堂。,冬天的太阳软绵绵的，晒得人全身都有一股说不出的懒怠劲，我喜欢那么悠悠晃晃，做白日梦，一堂课我走神混去了半堂。,冬 天 的 太 阳 软 绵 绵 的 ， 晒 得 人 全 身 都 有 一 股 说 不 出 的 懒 怠 劲 ， 我 喜 欢 那 么 悠 悠 晃 晃 ， 做 白 日 梦 ， 一 堂 课 我 胡 思 乱 想 混 去 了 半 堂 。,冬 天 的 太 阳 软 绵 绵 的 ， 晒 得 人 全 身 都 有 一 股 说 不 出 的 懒 怠 劲 ， 我 喜 欢 那 么 悠 悠 晃 晃 ， 做 白 日 梦 ， 一 堂 课 我 走 神 混 去 了 半 堂 。
我想象金先生坐在平板三轮上东张西望，那情景一定非常有趣。,我想象金先生坐在平板三轮上张望着，那情景一定非常有趣。,我 想 象 金 先 生 坐 在 平 板 三 轮 上 东 张 西 望 ， 那 情 景 一 定 非 常 有 趣 。,我 想 象 金 先 生 坐 在 平 板 三 轮 上 张 望 着 ， 那 情 景 一 定 非 常 有 趣 。
我不接他的话，他又翻来覆去地说，“到哪儿弄钱去？”,我不接他的话，他又反复地说，“到哪儿弄钱去？”,我 不 接 他 的 话 ， 他 又 翻 来 覆 去 地 说 ， “ 到 哪 儿 弄 钱 去 ？ ”,我 不 接 他 的 话 ， 他 又 反 复 地 说 ， “ 到 哪 儿 弄 钱 去 ？ ”
我轻轻的摸著它的里里外外，好似得了宝贝似的不知所措的欢喜著，脑子里突然浮出一片大漠落霞的景色，背后的配乐居然是“狮子与我”片中那首叫做“生而自由”的好听的主题曲。,我轻轻的摸著它的里里外外，好似得了宝贝似的莫名的欢喜著，脑子里突然浮出一片大漠落霞的景色，背后的配乐居然是“狮子与我”片中那首叫做“生而自由”的好听的主题曲。,我 轻 轻 的 摸 著 它 的 里 里 外 外 ， 好 似 得 了 宝 贝 似 的 不 知 所 措 的 欢 喜 著 ， 脑 子 里 突 然 浮 出 一 片 大 漠 落 霞 的 景 色 ， 背 后 的 配 乐 居 然 是 “ 狮 子 与 我 ” 片 中 那 首 叫 做 “ 生 而 自 由 ” 的 好 听 的 主 题 曲 。,我 轻 轻 的 摸 著 它 的 里 里 外 外 ， 好 似 得 了 宝 贝 似 的 莫 名 的 欢 喜 著 ， 脑 子 里 突 然 浮 出 一 片 大 漠 落 霞 的 景 色 ， 背 后 的 配 乐 居 然 是 “ 狮 子 与 我 ” 片 中 那 首 叫 做 “ 生 而 自 由 ” 的 好 听 的 主 题 曲 。
让人哭，让人笑，让人咬牙切齿，捶胸顿足，都太容易。,让人哭，让人笑，让人憎恨，悲痛，都太容易。,让 人 哭 ， 让 人 笑 ， 让 人 咬 牙 切 齿 ， 捶 胸 顿 足 ， 都 太 容 易 。,让 人 哭 ， 让 人 笑 ， 让 人 憎 恨 ， 悲 痛 ， 都 太 容 易 。
然而到了近来，并且又到了据说已经有了党的康村，而且自己是正感到无法处置自己历年居积下来的一点钱的时节，这些话，自然不免有点惊心动魄了。,然而到了近来，并且又到了据说已经有了党的康村，而且自己是正感到无法处置自己历年居积下来的一点钱的时节，这些话，自然不免有点令人震撼了。,然 而 到 了 近 来 ， 并 且 又 到 了 据 说 已 经 有 了 党 的 康 村 ， 而 且 自 己 是 正 感 到 无 法 处 置 自 己 历 年 居 积 下 来 的 一 点 钱 的 时 节 ， 这 些 话 ， 自 然 不 免 有 点 惊 心 动 魄 了 。,然 而 到 了 近 来 ， 并 且 又 到 了 据 说 已 经 有 了 党 的 康 村 ， 而 且 自 己 是 正 感 到 无 法 处 置 自 己 历 年 居 积 下 来 的 一 点 钱 的 时 节 ， 这 些 话 ， 自 然 不 免 有 点 令 人 震 撼 了 。
整个山城惊天动地地回应：听清楚了！,整个山城声势极大地回应：听清楚了！,整 个 山 城 惊 天 动 地 地 回 应 ： 听 清 楚 了 ！,整 个 山 城 声 势 极 大 地 回 应 ： 听 清 楚 了 ！
她折起身子，从俺手里抢去那根虎须，噗，一口气吹得无影无踪。,她折起身子，从俺手里抢去那根虎须，噗，一口气吹得没有踪影。,她 折 起 身 子 ， 从 俺 手 里 抢 去 那 根 虎 须 ， 噗 ， 一 口 气 吹 得 无 影 无 踪 。,她 折 起 身 子 ， 从 俺 手 里 抢 去 那 根 虎 须 ， 噗 ， 一 口 气 吹 得 没 有 踪 影 。
我跟在他身后幸灾乐祸地说：“请别说这是庸俗，那女人不过是个小巷子里腌菜的大字不识的女人，不值得你失望。”,我跟在他身后戏虐地说：“请别说这是庸俗，那女人不过是个小巷子里腌菜的大字不识的女人，不值得你失望。”,我 跟 在 他 身 后 幸 灾 乐 祸 地 说 ： “ 请 别 说 这 是 庸 俗 ， 那 女 人 不 过 是 个 小 巷 子 里 腌 菜 的 大 字 不 识 的 女 人 ， 不 值 得 你 失 望 。 ”,我 跟 在 他 身 后 戏 虐 地 说 ： “ 请 别 说 这 是 庸 俗 ， 那 女 人 不 过 是 个 小 巷 子 里 腌 菜 的 大 字 不 识 的 女 人 ， 不 值 得 你 失 望 。 ”
都有些疲乏过度的兴奋，孙小姐也有说有笑，但比了辛楣鸿渐的胡闹，倒是这女孩子老成。,都有些疲乏过度的兴奋，孙小姐也时常说笑，但比了辛楣鸿渐的胡闹，倒是这女孩子老成。,都 有 些 疲 乏 过 度 的 兴 奋 ， 孙 小 姐 也 有 说 有 笑 ， 但 比 了 辛 楣 鸿 渐 的 胡 闹 ， 倒 是 这 女 孩 子 老 成 。,都 有 些 疲 乏 过 度 的 兴 奋 ， 孙 小 姐 也 时 常 说 笑 ， 但 比 了 辛 楣 鸿 渐 的 胡 闹 ， 倒 是 这 女 孩 子 老 成 。
梅女士有意无意地分辩着，但也忍不住笑起来。,梅女士有意又好像无意地分辩着，但也忍不住笑起来。,梅 女 士 有 意 无 意 地 分 辩 着 ， 但 也 忍 不 住 笑 起 来 。,梅 女 士 有 意 又 好 像 无 意 地 分 辩 着 ， 但 也 忍 不 住 笑 起 来 。
薇龙拉开了珍珠罗帘幕，倚着窗台望出去，外面是窄窄的阳台，铁栏杆外浩浩荡荡都是雾，一片□□乳白，很有从甲板上望海的情致。,薇龙拉开了珍珠罗帘幕，倚着窗台望出去，外面是窄窄的阳台，铁栏杆外一片空旷都是雾，一片□□乳白，很有从甲板上望海的情致。,薇 龙 拉 开 了 珍 珠 罗 帘 幕 ， 倚 着 窗 台 望 出 去 ， 外 面 是 窄 窄 的 阳 台 ， 铁 栏 杆 外 浩 浩 荡 荡 都 是 雾 ， 一 片 □ □ 乳 白 ， 很 有 从 甲 板 上 望 海 的 情 致 。,薇 龙 拉 开 了 珍 珠 罗 帘 幕 ， 倚 着 窗 台 望 出 去 ， 外 面 是 窄 窄 的 阳 台 ， 铁 栏 杆 外 一 片 空 旷 都 是 雾 ， 一 片 □ □ 乳 白 ， 很 有 从 甲 板 上 望 海 的 情 致 。
她望着前方灯盏路两侧的杨树，现在那杨树下没有吊着各式各样的灯，也不是有雪的时令，而她却仿佛看到了那年正月十五的大雪和那盏白菜灯。,她望着前方灯盏路两侧的杨树，现在那杨树下没有吊着各钟的灯，也不是有雪的时令，而她却仿佛看到了那年正月十五的大雪和那盏白菜灯。,她 望 着 前 方 灯 盏 路 两 侧 的 杨 树 ， 现 在 那 杨 树 下 没 有 吊 着 各 式 各 样 的 灯 ， 也 不 是 有 雪 的 时 令 ， 而 她 却 仿 佛 看 到 了 那 年 正 月 十 五 的 大 雪 和 那 盏 白 菜 灯 。,她 望 着 前 方 灯 盏 路 两 侧 的 杨 树 ， 现 在 那 杨 树 下 没 有 吊 着 各 钟 的 灯 ， 也 不 是 有 雪 的 时 令 ， 而 她 却 仿 佛 看 到 了 那 年 正 月 十 五 的 大 雪 和 那 盏 白 菜 灯 。
我这才发觉这是个外地人，西班牙文说得极生硬，结结巴巴的。,我这才发觉这是个外地人，西班牙文说得极生硬，有些结巴。,我 这 才 发 觉 这 是 个 外 地 人 ， 西 班 牙 文 说 得 极 生 硬 ， 结 结 巴 巴 的 。,我 这 才 发 觉 这 是 个 外 地 人 ， 西 班 牙 文 说 得 极 生 硬 ， 有 些 结 巴 。
衣冠尽卸，赤膊裸裎，挥汗不迭，气喘吁吁，那篇文章会连影子也没有。,衣冠尽卸，赤膊裸裎，挥汗不迭，大喘气，那篇文章会连影子也没有。,衣 冠 尽 卸 ， 赤 膊 裸 裎 ， 挥 汗 不 迭 ， 气 喘 吁 吁 ， 那 篇 文 章 会 连 影 子 也 没 有 。,衣 冠 尽 卸 ， 赤 膊 裸 裎 ， 挥 汗 不 迭 ， 大 喘 气 ， 那 篇 文 章 会 连 影 子 也 没 有 。
后来又鬼鬼祟祟地跳出来一只火红的狐狸。,后来又偷偷地跳出来一只火红的狐狸。,后 来 又 鬼 鬼 祟 祟 地 跳 出 来 一 只 火 红 的 狐 狸 。,后 来 又 偷 偷 地 跳 出 来 一 只 火 红 的 狐 狸 。
我在办这些事儿的时候，得到许多经验，明白了许多人情，久而久之，我成了个很精明的人，虽然还不到三十岁-,我在办这些事儿的时候，得到许多经验，明白了许多人情，时间长了，我成了个很精明的人，虽然还不到三十岁-,我 在 办 这 些 事 儿 的 时 候 ， 得 到 许 多 经 验 ， 明 白 了 许 多 人 情 ， 久 而 久 之 ， 我 成 了 个 很 精 明 的 人 ， 虽 然 还 不 到 三 十 岁 -,我 在 办 这 些 事 儿 的 时 候 ， 得 到 许 多 经 验 ， 明 白 了 许 多 人 情 ， 时 间 长 了 ， 我 成 了 个 很 精 明 的 人 ， 虽 然 还 不 到 三 十 岁 -
今天才晓得他们的眼光，全同外面的那伙人一模一样。,今天才晓得他们的眼光，全同外面的那伙人一样。,今 天 才 晓 得 他 们 的 眼 光 ， 全 同 外 面 的 那 伙 人 一 模 一 样 。,今 天 才 晓 得 他 们 的 眼 光 ， 全 同 外 面 的 那 伙 人 一 样 。
"他进一步设想，那成千上万的观看宝船的人，一定也有穆斯林，如果他们知道这宝船出自中国的穆斯林之手，一定为""朵斯提""感到无上的光彩！","他进一步设想，那无数的观看宝船的人，一定也有穆斯林，如果他们知道这宝船出自中国的穆斯林之手，一定为""朵斯提""感到无上的光彩！","他 进 一 步 设 想 ， 那 成 千 上 万 的 观 看 宝 船 的 人 ， 一 定 也 有 穆 斯 林 ， 如 果 他 们 知 道 这 宝 船 出 自 中 国 的 穆 斯 林 之 手 ， 一 定 为 "" 朵 斯 提 "" 感 到 无 上 的 光 彩 ！","他 进 一 步 设 想 ， 那 无 数 的 观 看 宝 船 的 人 ， 一 定 也 有 穆 斯 林 ， 如 果 他 们 知 道 这 宝 船 出 自 中 国 的 穆 斯 林 之 手 ， 一 定 为 "" 朵 斯 提 "" 感 到 无 上 的 光 彩 ！"
谁还管青红皂白，先揍完再说，反正打媳妇是理所当然的事。,谁还管对错，先揍完再说，反正打媳妇是应当的。,谁 还 管 青 红 皂 白 ， 先 揍 完 再 说 ， 反 正 打 媳 妇 是 理 所 当 然 的 事 。,谁 还 管 对 错 ， 先 揍 完 再 说 ， 反 正 打 媳 妇 是 应 当 的 。
“柴进不会吃酒，”瑞珏不慌不忙地接口说。,“柴进不会吃酒，”瑞珏冷静地接口说。,“ 柴 进 不 会 吃 酒 ， ” 瑞 珏 不 慌 不 忙 地 接 口 说 。,“ 柴 进 不 会 吃 酒 ， ” 瑞 珏 冷 静 地 接 口 说 。
我是心有余而力不足，”觉新垂头丧气地答道。,我是没办法，”觉新沮丧地答道。,我 是 心 有 余 而 力 不 足 ， ” 觉 新 垂 头 丧 气 地 答 道 。,我 是 没 办 法 ， ” 觉 新 沮 丧 地 答 道 。
你在轰轰烈烈的音乐声中，听着她清楚地报数：“一、二、三、四、五、六、七、八、九、十、十一、十二，”这时候她稍微停顿了一下，你看到那十二个已经报出的数字，像十二个清晰的脚印，印在金黄的沙地上，“十三！”,你在响亮的音乐声中，听着她清楚地报数：“一、二、三、四、五、六、七、八、九、十、十一、十二，”这时候她稍微停顿了一下，你看到那十二个已经报出的数字，像十二个清晰的脚印，印在金黄的沙地上，“十三！”,你 在 轰 轰 烈 烈 的 音 乐 声 中 ， 听 着 她 清 楚 地 报 数 ： “ 一 、 二 、 三 、 四 、 五 、 六 、 七 、 八 、 九 、 十 、 十 一 、 十 二 ， ” 这 时 候 她 稍 微 停 顿 了 一 下 ， 你 看 到 那 十 二 个 已 经 报 出 的 数 字 ， 像 十 二 个 清 晰 的 脚 印 ， 印 在 金 黄 的 沙 地 上 ， “ 十 三 ！ ”,你 在 响 亮 的 音 乐 声 中 ， 听 着 她 清 楚 地 报 数 ： “ 一 、 二 、 三 、 四 、 五 、 六 、 七 、 八 、 九 、 十 、 十 一 、 十 二 ， ” 这 时 候 她 稍 微 停 顿 了 一 下 ， 你 看 到 那 十 二 个 已 经 报 出 的 数 字 ， 像 十 二 个 清 晰 的 脚 印 ， 印 在 金 黄 的 沙 地 上 ， “ 十 三 ！ ”
